PoPstateCode,pEffectiveComp,pService,pProduct,pRnD,pAir,pVessel,pLand,pMnS,pWnA,pFnC,pEnC,wavOffers,avOffers,lwavOffers,lavOffers,pFixed,pCostPlus,pIncentFee,pIDV,TotalValue,TotalCount,avSize,lavSize,fit,lwr,upr
AE,0.219752092,0.908243319,0.091756681,0,0,0.005584134,0.002094022,0,0,0.093994247,0.193542362,4.806608204,5.666666667,1.503078296,1.582893957,0.746072448,0.006674345,0,0.914559274,18922007.24,174,108747.168,1.986674625,0.768357783,0.539786469,0.996929097
AK,0.604714606,0.760360482,0.217924982,0.021714536,0.008542206,0.001130841,0.001511062,0.009301035,0.001154515,0.611564583,0.051890491,8.34810532,15.36838235,1.687269098,1.930724468,0.885381131,0.098854208,0.016691076,0.548131059,24989315590,59507,419939.0927,0.110915509,0.763191101,0.556102386,0.970279816
AL,0.764517714,0.394945691,0.215769104,0.389285206,0.070347303,0.047255442,0.021087344,0.10038093,0.013027639,0.120605542,0.083086876,5.603050568,33.96082609,1.538037075,2.232106144,0.41756019,0.505066688,0.028247165,0.433376616,1.13409E+11,165907,683571.7974,0.069076056,0.668854565,0.461180109,0.876529022
AR,0.534493629,0.54860213,0.441502487,0.009895383,0.017549415,0.015840723,0.003323548,0.006493484,0.21100125,0.434298938,0.0166672,6.422990413,20.38360368,1.410442638,2.086047418,0.853899334,0.141414403,-1.65E-06,0.443759383,11507184663,36570,314661.8721,0.116651139,0.6355186,0.427031824,0.844005376
AS,0.643614736,0.661885011,0.338114989,0,0,0,0,0,0,0.600384691,0.017811425,28.99872691,6.733944954,2.289742538,1.528205061,1,0,0,0.452121493,63832735.12,201,317575.7966,3.257471771,0.703702248,0.494431651,0.912972844
AZ,0.394099191,0.328161686,0.584594502,0.087243812,0.147996811,0.000468992,0.029245206,0.306297822,0.087621155,0.053803278,0.069232912,5.021767242,40.64859594,1.264232033,2.311565659,0.675010069,0.304630125,0.022392565,0.202254958,1.53279E+11,198589,771838.5614,0.051121884,0.387615506,0.149014852,0.62621616
CA,0.474070255,0.348552836,0.431370739,0.220076425,0.200484848,0.037844946,0.010244074,0.197440368,0.015575133,0.120843644,0.123825507,8.3594054,43.01170131,1.447004995,2.561725134,0.535904436,0.442371266,0.039455268,0.386342169,5.1802E+11,1138253,455100.5168,0.015981349,0.468195793,0.251950429,0.684441157
CO,0.586085725,0.481261806,0.313158712,0.205579482,0.009295253,0.000189697,0.001425627,0.266966492,0.043969435,0.225903778,0.161711335,7.048855043,36.37353706,1.418883383,2.283965712,0.447222349,0.512233057,0.010414558,0.48018635,66412552624,127392,521324.3581,0.081545007,0.587745023,0.357480132,0.818009914
CT,0.090383222,0.08216259,0.754755051,0.163082359,0.526010031,0.308457078,0.007380436,0.002147421,0.01404213,0.032993694,0.026726165,12.65082745,47.04309875,1.438047167,2.280897752,0.688985709,0.308870293,0.122348136,0.271445128,1.40263E+11,208755,671900.6482,0.040843539,0.198334776,-0.026922723,0.423592275
DC,0.539853001,0.723823051,0.207169582,0.069007367,0.000591016,0.099089926,0.002375647,0.007010523,0.000764591,0.126657978,0.231654936,8.087367432,21.16462668,1.51866221,1.983187445,0.564337579,0.3834081,0.008369358,0.619536475,56947416022,112767,505000.7185,0.123995583,0.615256593,0.40211005,0.828403135
