"PoPstateCode","pEffectiveComp","pService","pProduct","pRnD","pAir","pVessel","pLand","pMnS","pWnA","pFnC","pEnC","wavOffers","avOffers","lwavOffers","lavOffers","TotalValue","pIDV","fit","lwr","upr"
"AK",0.724597907051241,0.800467754976343,0.181596739881665,0.017935505141992,0.0170797519378376,0.000197394772625036,0.00101048842462883,0.00607827803049149,0.00379364876890007,0.660343380619054,0.0418623024992622,6.897218815439,5.93629343629344,1.78377913539469,1.58585522096758,1.4895890954812,0.532134761553176,0.784092584109365,0.575000348799137,0.993184819419593
"AL",0.815202660884535,0.565030056309899,0.225976618051751,0.20899332563835,0.106275555747189,0.0980932914533084,0.0151566455955008,0.151715219988707,0.00130304171518437,0.0875869627940553,0.0734354293517054,4.9158922739229,19.2148936170213,1.43509819974243,1.88812915996406,8.8115200504681,0.574709277595513,0.7012294982124,0.47386320756686,0.92859578885794
"AR",0.78393160190905,0.681028782664341,0.31184990012527,0.00712131721038878,0.0382694966387243,0.00148327769599679,0.00218983932416727,0.0313507272731309,0.212791850883024,0.597028904501444,0.0199327397823841,3.58194847825575,5.90079365079365,1.35612309226981,1.62596438676088,0.6003899825219,0.394792917919069,0.681282469138657,0.472442090512233,0.890122847765081
"AS",0.887975446686273,0.993210042906654,0.00678995709334616,0,0,0,0,0,0,0.541550862388915,0.199736568509005,6.20180870948646,5,1.61924560421305,1.39569728877459,0.0023858766377,0.308648240803385,0.597711622202987,0.358903097226221,0.836520147179754
"AZ",0.184025582835517,0.154850555948496,0.760893079372883,0.0842563646786219,0.367805766816311,0.00678149850364168,0.00711667834648017,0.32619461623717,0.111583569943941,0.0494679192457547,0.0774154644555112,7.6576643619499,13.8877135882832,1.51962981495869,1.79385271685939,9.5695210117873,0.17620559962457,0.197874921385832,-0.0500755392061683,0.445825381977833
"CA",0.497767866549019,0.480085726551131,0.380945063718239,0.13896920973063,0.217050332231358,0.0520918640296318,0.00818385383504876,0.179998545796542,0.00838724113921197,0.123401264637934,0.104304600093406,8.94776716048905,19.1399647887324,1.48677296115858,2.05207753256354,30.5940200652206,0.452947926166357,0.516167702486204,0.298140677455275,0.734194727517133
"CO",0.38209225181001,0.733780639050332,0.0975090140861924,0.168710346863476,0.032691304126701,0.00278911912225426,0.00433677766764608,0.165765533401716,0.0101933333578102,0.130280421589086,0.137104981438407,6.51367080130681,21.9503051438535,1.47177034102144,1.89070434987787,5.7649742373048,0.277109995550781,0.619513394520676,0.400611495411087,0.838415293630265
"CT",0.0562226528085543,0.0518869665320551,0.891347003380385,0.0567660300875599,0.40964015845003,0.526017020944165,0.000327791501327655,0.0020974948401782,0.00389941312509215,0.013461469378264,0.0105654430414723,14.5683231435669,13.5341246290801,1.31062893163893,1.74137283281903,13.2057810544205,0.134854823970732,0.14171310146641,-0.0945360806248997,0.37796228355772
"DC",0.578586157097708,0.771606807437653,0.168711159691942,0.0596820328704051,0.00188286362846846,0.0995886282028091,1.40619310516911e-05,0.0152252363665193,0.000525452230631363,0.105832223770567,0.233027291834989,4.81932087120405,12.8890290037831,1.5217524273898,1.76570483022094,4.1915422273452,0.64932358260769,0.629042393582526,0.412958166833558,0.845126620331495
"DE",0.797209244567985,0.471535811047401,0.512174408479592,0.0162897804730071,0.0201165953342609,0.00623515577052001,0.00382545496216859,0.00152229466735911,0.0012378344187183,0.428820053471312,0.0287148632154231,14.5118424455422,14.2997347480106,2.32917689116873,1.61475169486883,0.402938060588,0.886087596955424,0.72163679406448,0.500589031538093,0.942684556590867
"FL",0.520900593063589,0.503401540324084,0.408742302932191,0.0878561567437244,0.157620597993635,0.0478474645907252,0.014842648385339,0.101870943945994,0.0396686918857376,0.179196592739651,0.192721395648637,7.0088623583095,13.0166301969365,1.55591991966669,1.908965261901,9.7345240471625,0.498480614413433,0.489558681369777,0.283756794020187,0.695360568719366
"GA",0.343484642205746,0.410722523475043,0.549946957619443,0.0393305189055144,0.508827513473489,0.00988653363919309,0.00919638319796667,0.00249416152351665,0.00340865426362635,0.237324617755581,0.0737303994930437,9.36202844689092,11.5914866581957,1.7119478035419,1.85343283457332,6.3212641063451,0.420823589805816,0.327724994261338,0.109865119449563,0.545584869073113
"GU",0.919665477935972,0.909231781549247,0.0907156139703931,5.26044803604106e-05,0.00142673092703216,0.027236414289966,0.0037992534251444,0,0.00102711774066694,0.813234397209273,0.0125052354222135,5.35539682143843,4.64525993883792,1.76088504029776,1.48727931094568,0.7341732212719,0.651399100879334,0.913536032950404,0.688647400347384,1.13842466555342
"HI",0.721523712120606,0.856932286649642,0.114572203071755,0.0284955102786034,0.000788436637891108,0.0751919466615016,0.00274687382197823,0.0066598154537892,0.00440251168694658,0.606244309575058,0.0825892379964744,9.05723205022294,14.4199243379571,1.67554098832465,1.74204379910981,2.1288204258995,0.589499280002937,0.80005045951758,0.589004492520608,1.01109642651455
"IA",0.325658126072733,0.191937742348773,0.726892620868444,0.0811696367827831,0.329490135336168,0.00500347211253347,0.00271975908684743,0.0273863960660397,0.028155231417198,0.11778376689856,0.411023449356278,17.5227027579381,14.544885177453,1.46041091032206,1.6721191927565,1.101085706182,0.527355020485046,0.322341675135772,0.0913112680571165,0.553372082214429
