"PoPstateCode","pEffectiveComp","pService","pProduct","pRnD","pAir","pVessel","pLand","pMnS","pWnA","pFnC","pEnC","wavOffers","avOffers","lwavOffers","lavOffers","pFixed","pCostPlus","pIncentFee","pIDV","TotalValue","TotalCount","avSize","lavSize","fit","lwr","upr","fit","lwr","upr"
"AE",0.219752092005765,0.908243318723161,0.0917566812768393,0,0,0.00558413430826409,0.00209402244271507,0,0,0.093994246855192,0.19354236182436,4.80660820386481,5.66666666666667,1.50307829625787,1.58289395714366,0.746072448153598,0.00667434461472691,0,0.914559273772859,18922007.2371833,174,108747.168029789,1.98667462517861,0.768357782728983,0.539786468587385,0.996929096870582,0.768357782728983,0.539786468587385,0.996929096870582
"AK",0.604714605923202,0.760360481904633,0.217924981858285,0.021714536237082,0.0085422055414936,0.00113084074620597,0.00151106216934953,0.00930103465567659,0.00115451476145771,0.611564582945617,0.0518904914330233,8.34810531990812,15.3683823529412,1.68726909835589,1.93072446821912,0.885381130877925,0.0988542079483367,0.016691075884965,0.548131058542082,24989315589.6969,59507,419939.092706688,0.110915508963756,0.763191100867424,0.556102386150523,0.970279815584324,0.763191100867424,0.556102386150523,0.970279815584324
"AL",0.764517713853504,0.394945690617121,0.215769103864009,0.38928520551887,0.0703473029542496,0.0472554416447034,0.0210873442563463,0.100380930220914,0.0130276387137141,0.120605541915818,0.0830868758440043,5.6030505684111,33.9608260940829,1.53803707509043,2.23210614413407,0.417560189564417,0.505066688483338,0.0282471654340692,0.433376615648877,113409346188.614,165907,683571.797384161,0.0690760557126861,0.668854565495179,0.461180108846868,0.876529022143491,0.668854565495179,0.461180108846868,0.876529022143491
"AR",0.534493629375077,0.548602130287237,0.441502487161056,0.00989538255170745,0.0175494150352265,0.015840723079124,0.00332354808728073,0.00649348417518643,0.211001250416755,0.434298937696799,0.0166672004198251,6.42299041251827,20.3836036825954,1.41044263824412,2.08604741770039,0.853899333583459,0.141414402784168,-1.65307128937491e-06,0.443759383063357,11507184663.0193,36570,314661.872108813,0.11665113941073,0.63551860013953,0.427031824262284,0.844005376016776,0.63551860013953,0.427031824262284,0.844005376016776
"AS",0.643614736285964,0.661885010694961,0.338114989305039,0,0,0,0,0,0,0.600384690530437,0.0178114247818477,28.9987269075425,6.73394495412844,2.28974253787827,1.52820506148483,1,0,0,0.452121492664528,63832735.1160185,201,317575.796597107,3.2574717707605,0.703702247618556,0.494431650847448,0.912972844389664,0.703702247618556,0.494431650847448,0.912972844389664
"AZ",0.394099191159103,0.328161685998456,0.584594501979787,0.0872438120217567,0.147996811125624,0.000468992085309996,0.0292452059429536,0.30629782175334,0.0876211551527875,0.0538032783575148,0.0692329118971638,5.02176724220275,40.6485959438378,1.26423203324959,2.31156565908228,0.675010069103859,0.304630125367713,0.0223925654154184,0.202254958308137,153278648062.663,198589,771838.561363736,0.051121884337344,0.387615506463076,0.149014852450082,0.62621616047607,0.387615506463076,0.149014852450082,0.62621616047607
"CA",0.474070254843611,0.348552835940019,0.431370739132496,0.220076424927485,0.200484847822247,0.0378449464269114,0.0102440743685222,0.197440368391409,0.0155751325058669,0.120843644443441,0.123825507210009,8.35940540029951,43.011701308699,1.44700499543908,2.56172513391583,0.535904436096456,0.442371265658234,0.0394552681290542,0.386342168793201,518019528572.471,1138253,455100.516820488,0.0159813488284614,0.468195792892854,0.251950429159842,0.684441156625867,0.468195792892854,0.251950429159842,0.684441156625867
"CO",0.586085725355259,0.481261805579629,0.313158712495199,0.205579481925171,0.00929525305927269,0.000189697031263595,0.001425627069531,0.266966492025641,0.043969434604065,0.225903778442436,0.161711334518957,7.04885504295187,36.3735370611183,1.41888338281178,2.28396571164566,0.447222349087101,0.512233056654242,0.0104145581452919,0.480186349731547,66412552624.1619,127392,521324.358077131,0.0815450068362497,0.587745023126871,0.357480131893011,0.818009914360732,0.587745023126871,0.357480131893011,0.818009914360732
"CT",0.0903832218301932,0.0821625901637549,0.754755051250417,0.163082358585828,0.526010030967704,0.308457077767819,0.00738043624670022,0.00214742117550815,0.0140421299355706,0.0329936936916164,0.0267261652375564,12.6508274498712,47.0430987452264,1.43804716726871,2.28089775181868,0.688985709359625,0.308870292935451,0.122348135989577,0.271445127603335,140262619814.078,208755,671900.648195628,0.0408435385553186,0.198334776026479,-0.0269227225270355,0.423592274579994,0.198334776026479,-0.0269227225270355,0.423592274579994
"DC",0.539853000852011,0.723823051135235,0.207169582070051,0.0690073667947137,0.000591016457063206,0.0990899261203285,0.00237564745229576,0.00701052286383863,0.000764591294028091,0.126657977809113,0.231654935696577,8.08736743163483,21.1646266829865,1.51866220974006,1.98318744470834,0.56433757914835,0.38340810013552,0.00836935760226804,0.619536474623919,56947416021.8633,112767,505000.718489126,0.123995583074356,0.6152565926871,0.402110050198809,0.82840313517539,0.6152565926871,0.402110050198809,0.82840313517539
"DE",0.59213153798609,0.637780634804077,0.294195544119525,0.0680238210763976,0.0250669242939598,0.00181133453085322,0.0064895063868525,0.00165908059514517,0.00591317985544942,0.639542275137243,0.0542776771349182,20.5600189358585,48.0404164115126,1.79103798221697,2.17902900465703,0.904375067834885,0.0786874795874829,0,0.474409172733362,3143835157.06611,16370,192048.574041913,0.185566407950112,0.692950516111901,0.486627884170248,0.899273148053554,0.692950516111901,0.486627884170248,0.899273148053554
"FL",0.511281267937606,0.444170472419301,0.466472825918712,0.0893567016619871,0.0981857603255539,0.0178945987429683,0.00865097980726028,0.0630909871384276,0.104155310162126,0.213067670802284,0.180565838453204,6.20947312043291,33.057312492427,1.49499642773048,2.33616002663025,0.748823206376076,0.208984495368361,0.0192329429713504,0.511930415149853,163555273383.346,450223,363276.139564941,0.0284008990458064,0.51177637938413,0.30947394497537,0.71407881379289,0.51177637938413,0.30947394497537,0.71407881379289
"GA",0.394387160593109,0.399996401363137,0.545728839169471,0.0542747594673926,0.452237068636318,0.00252579479881939,0.0174253417491964,0.00272372893943523,0.0058138937413024,0.24732851673679,0.0763655444796276,9.8939339060738,31.7601926163724,1.61173896283535,2.33618775312943,0.829453675210072,0.132090046750305,0.0331785399529955,0.390458400788493,96894689048.6293,259080,373995.24875957,0.0410881792102834,0.343712091179163,0.129281049378916,0.55814313297941,0.343712091179163,0.129281049378916,0.55814313297941
"GU",0.842916299933235,0.915941930616659,0.0835801251060949,0.000477944277245708,0.000678530294655369,0.0515090601014364,0.00226826747224836,0,0.000567782671477397,0.806502561562679,0.0160584378212626,7.50241371653759,8.38935756002596,1.84884398201883,1.8997957078875,0.845355875401805,0.144698581934761,-4.21438866075107e-06,0.506373148812742,7190652805.28037,27441,262040.479766786,0.132488518406421,0.871134110003199,0.652084371884993,1.09018384812141,0.871134110003199,0.652084371884993,1.09018384812141
"HI",0.733853647462995,0.74898233811194,0.204842288145584,0.0461753737424759,0.00404737599549293,0.0498784135202996,0.00139836150624314,0.00514867513359816,0.0032723671026207,0.549011121228437,0.0874541381506776,10.7129533939354,27.2638319672131,1.72612779905357,2.10349289912162,0.806348482139315,0.161171955764534,0.00293998576432024,0.631883306998113,31542854863.5623,151733,207883.946561146,0.0503011258844402,0.763747326357896,0.555815871131901,0.971678781583892,0.763747326357896,0.555815871131901,0.971678781583892
"IA",0.455974996119917,0.200119643946384,0.704083917600072,0.0957964384535435,0.143986519918252,0.00193335362982744,0.00924069344257766,0.00281362689616241,0.0511064283748727,0.146329193646195,0.473699152799487,9.67865312562511,28.1765517241379,1.42001714202727,1.96743683538981,0.787317470958027,0.19325635103645,0.00327667564581625,0.462191673919657,15081444397.8516,43949,343157.851096763,0.11638320954255,0.373508682445173,0.140675572316096,0.60634179257425,0.373508682445173,0.140675572316096,0.60634179257425
"ID",0.704978369395579,0.559950129577704,0.388202220399431,0.0518476500228652,0.0202295344664451,0.011135864563226,0.0052422079352674,0.00381512665771598,0.00688080989033616,0.516796987624795,0.163459769388042,12.0727399260841,17.0689848569826,1.92314016340645,1.98819438578214,0.913084246948874,0.0809011254954738,9.52743327238505e-05,0.650923813347229,3132512744.86161,21352,146708.165270776,0.155613499586656,0.624694569931218,0.421100910402098,0.828288229460338,0.624694569931218,0.421100910402098,0.828288229460338
"IL",0.588350476409202,0.276008943202946,0.660481499919806,0.0635095568772478,0.0687554239696779,0.00308842024088571,0.202791561023991,0.0022725531598522,0.0494407356086549,0.236126970655343,0.17298567664479,8.10077883465933,34.7500459812397,1.68948666717345,2.24145342423327,0.866749001359056,0.103503110199764,0.00122369806703551,0.695977206329772,69171738142.1828,436291,158544.957705254,0.0206380058166858,0.529976187540073,0.323269777729461,0.736682597350684,0.529976187540073,0.323269777729461,0.736682597350684
"IN",0.279441856317957,0.207252076666049,0.750165201227976,0.0425827221059757,0.117380990600629,0.000951035551460654,0.37888435894011,0.00818332860737861,0.00993700966589893,0.0811004347566187,0.172150156955726,6.16439044617235,25.6334651507662,1.38120643004692,2.24359233304596,0.856064778533661,0.127818839896552,0.0050327766598894,0.487254317574761,61645560809.6308,141230,436490.553066847,0.0580848217961983,0.418705497493513,0.209554233735256,0.627856761251769,0.418705497493513,0.209554233735256,0.627856761251769
"KS",0.441744081643021,0.506195258099358,0.444950565803182,0.0488541760974593,0.447999630654946,0.000346870050033065,0.010604437427359,0.000555741524681753,0.0157260912032967,0.26439719768286,0.044493999698751,5.38659511800715,17.5824822036521,1.53832698595751,2.15547731884247,0.809857682886798,0.144577740174843,0.00671330236147801,0.465617371400107,27354246141.5862,83293,328409.904092616,0.0773473115658149,0.43457195988318,0.218723303263717,0.650420616502643,0.43457195988318,0.218723303263717,0.650420616502643
"KY",0.819211580941547,0.843358587770612,0.152418478532637,0.0042229336967506,0.0217268650297724,0.00157533187428492,0.00366538677281446,0.000429032496431136,0.0522325259476328,0.188637017528901,0.0200346284110931,3.58958083996846,15.1562965168205,1.29549355349124,2.06447663995722,0.427478163310146,0.556341858603804,8.22923362898983e-05,0.28407293438042,69920581764.8465,119147,586842.990296411,0.0661930335160102,0.747346827304958,0.526450004314059,0.968243650295856,0.747346827304958,0.526450004314059,0.968243650295856
"LA",0.755150890951146,0.618666459394575,0.374794682864206,0.0065388577412185,0.00319347963729802,0.149910780455641,0.0632675307616645,0.00110049615797412,0.00218721767930452,0.458652231678857,0.0830217031578807,8.60690704692753,18.3527131782946,1.7965759755421,2.15472988948826,0.804052617453471,0.190381679365583,0.0230743683885867,0.422999506357383,51515214478.2534,98330,523901.296432964,0.0774769483383935,0.634247765083916,0.428906516629968,0.839589013537864,0.634247765083916,0.428906516629968,0.839589013537864
"MA",0.255497513664111,0.220843129748345,0.483932567334366,0.295224302917289,0.143394604075937,0.00924095417503004,0.0105344921809618,0.118233895425634,0.108965276694301,0.0508410663123471,0.264009014783484,13.0633488149174,50.472364593434,1.36800532789038,2.52072990453505,0.589324496383724,0.370641252094842,0.00846049719813332,0.397733515548235,144563790979.135,221023,654066.730517345,0.0538122572147229,0.404889321781071,0.195983335060652,0.61379530850149,0.404889321781071,0.195983335060652,0.61379530850149
"MD",0.489010460362452,0.561029913834998,0.30097089195367,0.137999194211332,0.0745212474661499,0.0273912138394104,0.00467793139489131,0.0269244879313304,0.0222242778676609,0.158473467882721,0.240626574941407,10.0727827427749,41.2689595313009,1.44726296832364,2.34279348798063,0.551270764525387,0.34406454746807,0.0207619548348461,0.623489780625487,161170845053.464,416268,387180.482413887,0.036781854927295,0.553295348081551,0.344794501541816,0.761796194621285,0.553295348081551,0.344794501541816,0.761796194621285
"ME",0.463038231196027,0.210772324950174,0.720041886836539,0.0691857882132863,0.000744204741423098,0.681003878085753,0.00243678075091126,0.00581152655125022,0.0339106032011837,0.0767206504507708,0.00680159864815409,5.39617923180824,25.1729699666296,1.31139334862022,1.9153050923374,0.864340023980639,0.127487360149498,0.489978005652334,0.12426540656434,24588118083.8986,24230,1014779.94568298,0.169628193836059,0.427489091544188,0.182648746450774,0.672329436637603,0.427489091544188,0.182648746450774,0.672329436637603
"MI",0.382232034782278,0.161315957283268,0.776164613009857,0.0625194297068758,0.0290170116519329,0.00451661323910682,0.576757619956154,0.00150361269841716,0.067885872778885,0.0869763393697958,0.03209802088687,11.9110734215586,43.7203237410072,1.89426973349139,2.41713896723646,0.676858273102991,0.316475357196574,0.0278750425025945,0.685329302567112,56821659013.9836,151988,373856.219004024,0.0418197768642017,0.51062110952096,0.295103539241441,0.726138679800479,0.51062110952096,0.295103539241441,0.726138679800479
"MN",0.439262272186943,0.162800947498931,0.703967272174294,0.133231780326776,0.0472307736654197,0.0116198967685445,0.0166892589348113,0.0245141975797114,0.320023412159734,0.0925666157724582,0.20784638669903,11.2301445673301,46.6642577536886,1.38147164014706,2.39687016443233,0.680628034990401,0.313703546576708,0.00854216514466907,0.445852552853047,26052738428.7175,76692,339706.076627517,0.0743272106709089,0.445539545483545,0.234509643832334,0.656569447134756,0.445539545483545,0.234509643832334,0.656569447134756
"MO",0.211501793009115,0.147591026082328,0.684060622880114,0.168348351037558,0.467864986815631,0.000256864439657259,0.0109774688845422,0.0190218825312726,0.133233764608171,0.0884089340516155,0.0505416593135383,5.39444180685974,25.2893982808023,1.4334272992767,2.14712798746163,0.772962467024443,0.215475946634543,0.179198081281524,0.32749844295726,134263982793.027,205614,652990.471432036,0.0425766439267604,0.256402180247608,0.0377392072959106,0.475065153199306,0.256402180247608,0.0377392072959106,0.475065153199306
