PoPstateCode,pEffComp,pNoEffComp,pPlatOther,pPlatFnC,pPlatEnC,pPlatVessel,pPlatLand,pPlatAir,pPlatWnA,pPaltMnS,pPSRServices,pPSRProducts,pRnD,pPscPAMS,pPscMED,pPscFRSnC,pPscICT,pPscERS,pPscOther,pPscEnC,pPscLand,pPscEngines,pPscAir,pPscCloth,pPscFuels,pPscLnM,pPscRnD,pPscShips,pPscMnS,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeFixed,pFeeEPA,pFeeAward,pFeeIncentive,pFeeRedermination,pFeeEffort,pIDV,pAward,pVehFSS,pVehSAC,pVehPur,pVehMAC,pVehOIDV,pVehDef,pVehBPA,pComp3or4Offers,pNoCompOther,pComp1Offer,pComp5pOffers,pComp2Offers,pNoComp1Source,pCompNo Comp. (Unlabeled),pNoCompFollowOn,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude
KY,0.81992351,0.18007649,0.71072831,0.186770228,0.01990416,0.001578371,0.003719552,0.023036647,0.053832871,0.00042986,0.844242029,0.151526889,0.004231082,0.078823546,0.523054611,0.156371702,0.004030502,0.081961667,0.03237999,0.014748249,0.001863122,0.001749943,0.011932277,0.038057886,0.002800895,0.046117088,0.004231082,0.001535283,0.000342157,0.427478163,0.015256419,0.556341859,0.000923559,0.440076126,0.126988717,0.008494542,0.04198324,0.381965963,0.000474856,1.66E-05,0.284072934,0.715927066,0.013057256,0.181672309,0.013375873,0.087428232,0.000704465,0.703077945,0.00068392,0.154349457,0.040820713,0.064514668,0.115361076,0.549501048,0.064051765,0.010831814,0.000569459,3.58958084,15.15629652,1.295493553,2.06447664,69920581765,119147,586842.9903,0.066193034,7113614800,FALSE
LA,0.756478205,0.243521795,0.237325305,0.458525105,0.083027743,0.150373435,0.06363607,0.003489103,0.00251939,0.001103848,0.619469677,0.373971549,0.006558774,0.081847064,0.002054489,0.410913422,0.07118153,0.053473172,0.037700445,0.009119311,0.059602907,0.00271358,0.001558962,0.004749462,0.107142635,0.00170836,0.006558774,0.149495493,0.000180394,0.804052617,0.005277183,0.190381679,0.00028852,0.664852338,0.024443826,0.123181237,0.128928998,0.057490264,0.000814816,0.00028852,0.422999506,0.577000494,0.012954874,0.270915109,0.019118896,0.137322093,0.001010769,0.558442804,0.000235455,0.20482744,0.059842055,0.075673536,0.344263037,0.206060414,0.097081597,0.009265427,0.002986493,8.606907047,18.35271318,1.796575976,2.154729889,51515214478,98330,523901.2964,0.077476948,6951825602,FALSE
MA,0.255344368,0.744655632,0.289453644,0.046259028,0.265795255,0.009366682,0.010693416,0.148408791,0.098102785,0.131920399,0.220341672,0.480821397,0.298836931,0.091487925,0.009305755,0.025662119,0.039688227,0.054197646,0.020917579,0.145364322,0.003579702,0.138181299,0.016877792,0.00944754,0.002445101,0.06329448,0.298836931,0.003901814,0.076811769,0.589324496,0.029687567,0.370641252,0.010346685,0.657603724,0.136770979,0.038329127,0.07439624,0.074110076,0.008443169,0.010346685,0.397733516,0.602266484,0.028706112,0.318034255,0.016740413,0.046881719,0.00262902,0.586121276,0.000887206,0.071954922,0.144656211,0.10553503,0.071171835,0.112370757,0.468725258,0.023946927,0.00163906,13.06334881,50.47236459,1.368005328,2.520729905,1.44564E+11,221023,654066.7305,0.053812257,14532318694,FALSE
MD,0.490761215,0.509238785,0.443158605,0.155988149,0.231655619,0.027564366,0.005009287,0.08712042,0.022305282,0.027198274,0.563455967,0.297685317,0.138858716,0.290843843,0.038348349,0.105042745,0.077334131,0.051886898,0.047527383,0.112703391,0.001986075,0.002509804,0.056441715,0.030922728,0.002939508,0.007698821,0.138858716,0.02098792,0.013967973,0.551270765,0.103512771,0.344064547,0.001151917,0.632066785,0.255015989,0.006882329,0.054487898,0.049493149,0.000914718,0.001139132,0.623489781,0.376510219,0.070806834,0.342840813,0.030286874,0.195899905,0.010852005,0.347754508,0.001559061,0.137958439,0.146671517,0.180737976,0.189988839,0.161063183,0.155710387,0.021852181,0.006017479,10.07278274,41.26895953,1.447262968,2.342793488,1.61171E+11,416268,387180.4824,0.036781855,14359245669,FALSE
ME,0.46328266,0.53671734,0.192196158,0.071445831,0.006799837,0.681694261,0.002442039,0.005640652,0.033963825,0.005817397,0.210709585,0.720034738,0.069255677,0.033377764,0.104626784,0.057122588,0.003323802,0.012258647,0.005999105,0.002819069,0.001424125,0.00048964,0.005071189,0.040847736,0.01021255,0.036430549,0.069255677,0.616689653,5.11E-05,0.864340024,0.008164225,0.12748736,8.39E-06,0.358960661,0.02442493,0.01281127,0.097257355,0.494785296,0.011752098,8.39E-06,0.124265407,0.875734593,0.004662752,0.096296094,0.008126865,0.02125291,0.00142157,0.868022818,0.00021699,0.022173291,0.420537083,0.021529582,0.091444989,0.349419951,0.079456882,0.015143346,0.000294877,5.396179232,25.17296997,1.311393349,1.915305092,24588118084,24230,1014779.946,0.169628194,5303051738,FALSE
MI,0.388076459,0.611923541,0.189091367,0.081498819,0.031988935,0.004592462,0.586132635,0.03408101,0.071088034,0.001526738,0.163478566,0.773042922,0.063478512,0.05842338,0.000777758,0.031384692,0.008465095,0.064427642,0.082133406,0.016831174,0.560708182,0.024657603,0.020854916,0.037903859,0.003928904,0.019687189,0.063478512,0.004222565,0.002115125,0.676858273,0.003803761,0.316475357,0.002862608,0.67891592,0.244599168,0.024682589,0.008684254,0.039238901,0.00101656,0.002862608,0.685329303,0.314670697,0.023245561,0.636068554,0.03037253,0.023844575,0.000883035,0.284373081,0.001212664,0.074575205,0.100339397,0.082211745,0.235315405,0.072341424,0.403074157,0.031574745,0.000567921,11.91107342,43.72032374,1.894269733,2.417138967,56821659014,151988,373856.219,0.041819777,6449525357,FALSE
MN,0.494389367,0.505610633,0.189729317,0.089282998,0.229433877,0.013077744,0.019014538,0.068414667,0.363448662,0.027598198,0.183038521,0.667023442,0.149938037,0.061137568,0.048271821,0.043576537,0.005210107,0.024842487,0.054302008,0.180021926,0.015639666,0.03190313,0.061220594,0.01369169,0.007368986,0.269134895,0.149938037,0.010329356,0.023411189,0.680628035,0.005493848,0.313703547,0.00017457,0.67767925,0.115678875,0.0095163,0.113198967,0.083646766,0.000105271,0.00017457,0.445852553,0.554147447,0.021751094,0.392425404,0.047642501,0.027940076,0.002284731,0.507381804,0.000574391,0.067638439,0.155252388,0.08064033,0.105431638,0.266192195,0.276405543,0.047422917,0.00101655,11.23014457,46.66425775,1.38147164,2.396870164,26052738429,76692,339706.0766,0.074327211,2121522469,FALSE
MO,0.205394071,0.794605929,0.217903259,0.085066497,0.048751309,0.00026115,0.011351472,0.481831023,0.135489426,0.019345863,0.149138677,0.679704071,0.171157253,0.044408613,0.018214713,0.050791739,0.006514204,0.029209408,0.04499209,0.029611005,0.009530649,0.005462521,0.445684595,0.009714154,0.000723127,0.116519267,0.171157253,0.000159233,0.01730743,0.772962467,0.011466951,0.215475947,9.46E-05,0.515353443,0.164188071,0.093997184,0.026411324,0.199790148,0.000165194,9.46E-05,0.327498443,0.672501557,0.007929387,0.275683641,0.010032211,0.031958058,0.011197441,0.663102463,9.68E-05,0.065573871,0.09454184,0.065285598,0.082581911,0.063346011,0.604724876,0.022625542,0.001320351,5.394441807,25.28939828,1.433427299,2.147127987,1.34264E+11,205614,652990.4714,0.042576644,13461344302,FALSE
MP,0.782728012,0.217271988,0.214537201,0.756857879,0.017568977,0.009128008,0.001907935,0,0,0,0.988794882,0.011205118,0,0.149483596,0.013587749,0.644184268,0.010946562,0.170592707,0.000962671,0,0.001626137,0.006622415,0,0.001873243,0.000120652,0,0,0,0,0.928035862,7.80E-05,0.071886173,0,0.886699782,0.073089339,0.041414045,-0.001203165,0,0,0,0.794549633,0.205450367,0.009216058,0.698621415,0.0535107,0.086476789,0,0.151939666,0.000235371,0.038650493,0.072270819,0.124409604,0.625380177,0.118623974,0.01191392,0.008751014,0,6.382909492,7.109756098,1.790396967,1.737270965,51214526.46,177,289347.6071,2.837440931,10865672.53,FALSE
MS,0.458924871,0.541075129,0.085027442,0.157025187,0.039773906,0.608419576,0.008019204,0.092333399,0.006100049,0.003301237,0.294081677,0.63422705,0.071691273,0.044840158,0.002476301,0.136231366,0.03041027,0.080123582,0.013731965,0.006690727,0.007503655,0.000972631,0.02517352,0.020703969,0.004151156,0.00234162,0.071691273,0.552827172,0.000130634,0.720520469,0.008407121,0.270922881,0.000149529,0.425000088,0.136029953,0.007532681,0.100350028,0.330920205,1.75E-05,0.000149529,0.229931085,0.770068915,0.010736135,0.183277292,0.011721153,0.033506759,0.001022686,0.758909253,0.00082672,0.078232608,0.09616428,0.05824162,0.110463598,0.269825821,0.379505502,0.006213206,0.001353366,5.240283854,21.54314565,1.415819187,2.017153102,54040730738,69998,772032.4972,0.107129124,6379241567,FALSE
MT,0.584383133,0.415616867,0.349881483,0.530117156,0.060248363,0.001852184,0.018873546,0.023243926,0.005344888,0.010438455,0.612271496,0.3470364,0.040692104,0.203239727,0.001277488,0.38915092,0.008130524,0.010472837,0.151857688,0.036133069,0.005791395,0.023436641,0.021174402,0.019149199,0.083799785,0.004605971,0.040692104,0.000617006,0.000471244,0.826215342,0.024011871,0.14888861,0.000884177,0.813498056,0.068114435,0.086357564,0.002292869,0.028800237,5.27E-05,0.000884177,0.495261527,0.504738473,0.01883538,0.400604068,0.077431307,0.063820411,0.000110165,0.438223858,0.000974811,0.145890473,0.182185643,0.087984438,0.333455922,0.105894258,0.125187271,0.017117499,0.002284497,10.82793998,22.439913,1.81307641,2.130197893,3479887362,24443,142367.441,0.129747721,343456072.5,FALSE
