Filename,Filename.1,MajorCommandID,pEffComp,pNoEffComp,pPlatEnC,pPlatOther,pPlatFnC,pPlatLand,pPlatVessel,pPlatAir,pPlatWnA,pPlatMnS,pPSRProducts,pPSRServices,pRnD,pPscEnC,pPscICT,pPscPAMS,pPscOther,pPscFRSnC,pPscERS,pPscRnD,pPscLand,pPscFuels,pPscShips,pPscMED,pPscAir,pPscCloth,pPscLnM,pPscMnS,pPscEngines,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeEPA,pFeeIncentive,pFeeFixed,pFeeRedermination,pFeeAward,pFeeEffort,pIDV,pAward,pVehBPA,pVehFSS,pVehMAC,pVehPur,pVehSAC,pVehDef,pVehOIDV,pNoComp1Source,pNoCompOther,pNoCompFollowOn,pComp1Offer,pComp2Offers,pComp3or4Offers,pComp5pOffers,pCompNo.Comp...Unlabeled.,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,TotalThreshold,AnnualThreshold,Exclude,PredFit90,PredLwr90,PredUpr90,PredFit95,PredLwr95,PredUpr95
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2845,0.424702414,0.575297586,0.141046621,0.745586285,0.110549717,0.001121728,0,0.000856365,0.000839283,0,0.072120006,0.927879994,0,0.057622731,0.079462436,0.460617795,0.010811043,0.093861229,0.262371982,0,0.000858409,0,0,0.031566551,0.000477289,0.001098148,0.000839283,4.49E-05,0.000368248,0.670132564,-0.000548193,0.316275035,0.014140594,0.658504927,-0.004911487,0.015983868,0.127354452,0,0.188927645,0.014140594,0.25646409,0.74353591,0.017746861,0.055858622,0.094000452,0.033081077,0.07087574,0.710518669,0.017918578,0.030543061,0.209590365,0.00646955,0.327477642,0.050157972,0.237166541,0.138539941,5.49E-05,3.238932537,6.131782946,1.226526609,1.723865026,380542088.5,1400,271815.7775,0.362690307,380542088.5,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.638634121,0.355944102,0.921324139,0.638634121,0.299265032,0.978003209
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2869,0.658721307,0.341278693,0.14352818,0.380336708,0.445564121,0.011366532,0.000361891,0.016288392,0.002536287,1.79E-05,0.233153603,0.764261465,0.002584932,0.096132645,0.040308986,0.334877042,0.092267003,0.323117725,0.028936671,0.002584932,0.007232036,0.002048449,0.000287804,0.037021041,0.008515146,0.019512938,0.002248215,0.000515604,0.004393763,0.969430901,0.02942547,0.000787239,0.00035639,0.997546088,0.000912366,0,0.000736928,5.58E-06,0.000442646,0.00035639,0.581080499,0.418919501,0.07992383,0.134338686,0.20048312,0.127570117,0.158707816,0.292012949,0.006963482,0.022949343,0.152608643,0.018026145,0.147460366,0.108672374,0.187099447,0.363096466,8.72E-05,6.010834789,15.9075,1.653659077,2.379015716,2181530197,28738,75910.99578,0.021825942,2181530197,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.595741826,0.325085648,0.866398004,0.595741826,0.270819352,0.920664301
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2871,0.679661152,0.320338848,0.061677713,0.352571213,0.034506373,0.009263208,0.006682572,3.75E-07,-4.60E-05,0.535344512,0.035684432,0.450238631,0.514076937,0.016413225,0.041800761,0.373917303,0.000142712,0.034334416,0.00018615,0.514076937,0.009263208,0,0.006682572,0,3.75E-07,0.003182896,0,-5.56E-07,0,0.200833137,-0.001729613,0.757910739,0.042985738,0.199325911,0,0.011995676,0.543463126,0,0.20222955,0.042985738,0.565143184,0.434856816,7.15E-05,0.000284043,0.435537334,0.001103451,0.129250349,0.433753365,0,0.106084378,0.070732664,-0.000646284,0.154468825,0.185830568,0.306864242,0.176404903,0.000260704,3.771485346,19.60150376,1.358111801,1.915112093,1013339595,1153,878872.1551,0.737250435,1013339595,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.58482379,0.300364998,0.869282581,0.58482379,0.243331291,0.926316288
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2872,0.80921525,0.19078475,0.062671804,0.058424216,0.872225424,0.001523113,0.004718332,3.45E-05,0.000226103,0.000176466,0.0493191,0.940958797,0.009722103,0.019755283,0.016604952,0.108627529,0.022328514,0.78502849,0.030447131,0.009722103,0.00122515,0.000370364,0.001896717,0.000250696,3.17E-05,0.001679291,0.000161509,1.61E-05,0.001854429,0.949792128,0.003497648,0.046659133,5.11E-05,0.951765241,0.002068554,0.001933612,0.03236561,7.66E-06,0.011808232,5.11E-05,0.474351192,0.525648808,0.003789961,0.012524385,0.230259057,0.017451203,0.208788668,0.50823909,0.018947638,0.021198016,0.113916334,0.005287388,0.054289453,0.131418214,0.24468554,0.428703641,0.000501415,6.939587957,19.01473297,1.786096448,2.470946897,17241444184,39635,435005.5301,0.041394399,17241444184,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.665811465,0.387349292,0.944273639,0.665811465,0.331517901,1.00010503
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2875,0.578160421,0.421839579,0.035514813,0.802181144,0.161741089,3.74E-06,0,0.000484395,7.48E-05,0,0.238609549,0.761336321,5.41E-05,0.007783692,0.027569883,0.092461898,0.02587252,0.122005651,0.023499342,5.41E-05,3.74E-06,6.55E-06,0,0.495799547,0.000484395,0.204353434,7.48E-05,7.42E-06,2.30E-05,0.970884643,0.005222568,0.023892789,0,0.976600506,0.000181269,0,0.023152409,0,6.58E-05,0,0.598996118,0.401003882,0.02818754,0.079734751,0.084745579,0.180561719,0.401436322,0.221328087,0.004006002,0.09177807,0.193149901,0.021507866,0.12268256,0.099148998,0.113696229,0.357983466,5.29E-05,9.305830578,19.18090452,1.785510758,2.38334535,1338986304,9461,141526.9321,0.101895079,1338986304,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.750443401,0.477784793,1.023102009,0.750443401,0.423117012,1.07776979
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2877,0.462615838,0.537384162,0.155308699,0.296584946,0.160222439,0.075896336,0.001937854,0.182379331,0.070559984,0.057110412,0.481290104,0.458343104,0.060366792,0.086568285,0.050765414,0.230354821,0.037944372,0.116063354,0.060613154,0.060366792,0.066405488,0.000615876,0.001836584,0.000546362,0.150504494,0.01049271,0.060709124,0.053928746,0.012284425,0.679649134,0.024495192,0.289306809,0.006548866,0.667445138,0.011322753,0.09594636,0.198134512,0.001816193,0.018786178,0.006548866,0.464073031,0.535926969,0.009270354,0.013405629,0.155527854,0.019324729,0.273859441,0.516794293,0.0118177,0.37081676,0.11198801,0.006040431,0.084375272,0.124890849,0.155570303,0.144532042,0.001786333,6.219873768,34.46036916,1.467472106,2.447228019,49578757713,82816,598661.5837,0.024274755,49578757713,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.341051084,0.050189198,0.631912971,0.341051084,-0.008128324,0.690230493
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2878,0.00970281,0.99029719,0.99029719,0.00970281,0,0,0,0,0,0,0,1,0,0,0.99029719,0.00970281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99029719,0,0.00970281,0,0.99029719,0,0,0,0,0.00970281,0,1,0,0,0.023114092,0.967183098,0,0.00970281,0,0,0,0,0.589145254,0.401151936,0.00970281,0,0,0,1.023616156,1.333333333,0.702722708,0.828302217,-14445.3001,6,-2407.550017,2.419723017,-14445.3001,-1.44E+04,-1.44E+04,FALSE,0.413336062,0.098694074,0.727978051,0.413336062,0.035608666,0.791063459
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2880,0.671667312,0.328332688,0.198808439,0.794166254,0.005780989,-2.59E-06,0,5.29E-05,0.001193996,0,0.049667383,0.873698281,0.076634337,0.048154852,0.15063991,0.719135376,0.001516357,0.003833782,8.92E-05,0.076634337,0,0,0,0,-1.07E-05,1.21E-05,-5.28E-06,0,0,0.18811426,0.008540973,0.370428145,0.432916622,0.204306055,0,0,0.328523352,-0.000179364,0.034433334,0.432916622,0.853960877,0.146039123,0.000823528,0.017648276,0.530936638,0.004826834,0.297301774,0.141212288,0.007250661,0.106261118,0.075547513,4.98E-05,0.14644672,0.100374307,0.109714407,0.461612239,-6.10E-06,4.317905899,11.56074766,1.540401276,1.587991494,723457228.7,927,780428.51,0.581320235,723457228.7,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.619769951,0.343668094,0.895871807,0.619769951,0.288309945,0.951229957
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2882,0.545202283,0.454797717,0.177850883,0.746545424,0.06523903,0.000236631,4.25E-05,3.32E-05,0.010052339,0,0.07079275,0.770202305,0.159004945,0.030057306,0.145959338,0.561822095,0.025419632,0.038406927,0.005472343,0.159004945,0.000236631,0,4.25E-05,0.018541601,3.32E-05,0.014808435,1.55E-05,0.000169892,9.62E-06,0.622142901,0.084721576,0.274424529,0.018710994,0.741334246,0.000122872,1.28E-05,0.222564074,0.000223627,0.017031388,0.018710994,0.713837429,0.286162571,0.005616261,0.1266672,0.258350538,0.052552593,0.239836164,0.233609978,0.083367267,0.16311892,0.091028443,0.016414307,0.180458604,0.174487785,0.171922926,0.200457673,0.002111341,16.17452875,30.696,1.527700597,2.146915616,1235668497,3641,339376.132,0.236670683,1235668497,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.590982951,0.319581846,0.862384056,0.590982951,0.265166193,0.91679971
data\defense_mcc_competition_combined_2014.csv,data\defense_mcc_competition_combined_2014.csv,ORG-2936,0.172296033,0.827703967,0.073349734,0.101635631,0.00767513,0.000867359,2.31E-05,0.761956223,0.010816463,0.043676404,0.693313054,0.128804149,0.177882797,0.03477187,0.009584654,0.050997727,0.023108225,0.000544352,0.067672798,0.177882797,0.000327518,2.63E-06,1.52E-05,4.62E-06,0.524453409,2.82E-06,0.003090123,0.045120559,0.062420669,0.716243584,0.001182536,0.282565104,8.78E-06,0.314350957,0.00057635,0.451089538,0.166741277,0,0.067233101,8.78E-06,0.218848461,0.781151539,0.000235619,0.001775622,0.065113535,0.002953794,0.09048521,0.778203724,0.061232497,0.746192104,0.020312617,0.004253114,0.055124066,0.10707594,0.046402187,0.020635717,4.26E-06,2.629823592,13.62244898,1.166354643,2.112133067,24843635061,9953,2496095.153,0.168239208,24843635061,"[ 1.00e+08, 4.96e+10]","[ 1.00e+08, 4.96e+10]",FALSE,0.150979473,-0.176160353,0.4781193,0.150979473,-0.241751565,0.543710512
