"ContractingOfficeID","pNoEffComp","pEffComp","pPlatEnC","pPlatFnC","pPlatOther","pPlatLand","pPlatWnA","pPaltMnS","pPlatAir","pPlatVessel","pProducts","pServices","pRnD","pPscEnC","pPscOther","pPscFuels","pPscICT","pPscFRSnC","pPscPAMS","pPscERS","pPscEngines","pPscLnM","pPscMED","pPscMnS","pPscAir","pPscLand","pPscRnD","pPscShips","pPscCloth","pPriceFixed","pPriceTime","pPriceCost","pPriceOther","pFeeNone","pFeeRedermination","pFeeEPA","pFeeFixed","pFeeAward","pFeeIncentive","pFeeEffort","pIDV","pAward","pVehFSS","pVehSAC","pVehBPA","pVehPur","pVehDef","pVehMAC","pVehOIDV","pNoComp1Source","pCompNo Comp. (Unlabeled)","pComp1Offer","pComp2Offers","pComp3or4Offers","pComp5pOffers","pNoCompOther","pNoCompFollowOn","wavOffers","avOffers","lwavOffers","lavOffers","TotalValue","TotalCount","avSize","lavSize","MaxAnnualValue","ExcludeLow","ExcludeHigh"
"A8114",0.467045349734955,0.532954650265045,0.220272338945548,0.168435916116234,0.609340055583895,0.0019516893543227,0,0,0,0,0.1089026503396,0.891097349660401,0,0.0327617593773167,0.0734310345801534,0,0.172920487252633,0.0930823633032692,0.584511674221352,0.0335880754499652,0,0,0.00699474943318085,0,0,0.0019516893543227,0,0,0.000758167027806739,0.321371129736853,0.17229833854046,0.506330531722687,0,0.493669468277313,0,0,0.506330531722687,0,0,0,0.862803434218604,0.137196565781396,0.34851331370434,0.51370023260182,0,0.0263549830538257,0.111431470640014,0,0,0.0760241210867993,0.229047505466883,0.144385911514054,0.389489283508235,0.017430447548573,0.126034919208237,0.0175878116672177,0,2.52752351395851,2.42307692307692,1.17880723040816,1.09575278337345,63962191.9812396,197,324681.177569744,0.629574689684906,34827902.1164021,FALSE,TRUE
"A8117",1,0,0.633815064454691,0,0.366184935545309,0,0,0,0,0,0,0.366184935545309,0.633815064454691,0,0,0,0,0,0.366184935545309,0,0,0,0,0,0,0,0.633815064454691,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.693147180559945,0.693147180559945,320134.43780554,2,160067.21890277,6.33824971418805,320134.43780554,TRUE,TRUE
"A8119",0.698617000070039,0.301382999929961,0.163066127886925,0,0.836933872113075,0,0,0,0,0,0.163066127886925,0.518811762671463,0.318122109441612,0.163066127886925,0,0,0,0,0.518811762671463,0,0,0,0,0,0,0,0.318122109441612,0,0,0.887172635242523,0.112827364757477,0,0,1,0,0,0,0,0,0,0.251618277229318,0.748381722770682,0.156441832128761,0.095176445100557,0,0.307550988664996,0.440830734105686,0,0,0,0.364587766888816,0.334029233181223,0.112827364757477,0,0.188555635172484,0,0,3.25478317272839,3.66666666666667,1.21147183876502,1.32966134885476,582099.030317662,7,83157.0043310945,3.50337247364158,491034.391534392,TRUE,TRUE
"A8120",0.958135944469786,0.0418640555302135,0.0744262637351727,0.000684418825778719,0.653381105185248,0,0,0,0.2715082122538,0,0.302707869644302,0.697292130355698,0,0.0305152385647227,0.000684418825778719,0,0.0439110251704499,0,0.653381105185248,0,0,0,0,0,0.2715082122538,0,0,0,0,0.988737387691516,0.00991013179216683,0.00135248051631754,0,0.0992861542156983,0,0,0.00135248051631754,0,0.899361365267984,0,0.935264213114277,0.0647357868857234,0.0504974209737398,0.875205629007614,0,0.000716765996435029,0.0640190208892883,0.00956116313292296,0,0.000626636830340778,0.594532797838812,0,0.00316362774147054,0,0.038700427788743,0.362976509800634,0,6.73082025379191,8.4,2.01260455865534,1.91499669711282,168597073.867866,180,936650.410377032,0.725838505622931,102225961.434003,FALSE,FALSE
"A8122",0.491137272473372,0.508862727526628,0.10859331243119,0.00784251423406323,0.789140166527373,0.0103732976277402,0.0130982566820879,0,0.0709524524975449,0,0.0798348757139305,0.879721218151776,0.0404439061342937,0.00937149988477129,0.00560588147316162,0,0.0966429484898809,0.00333202243133623,0.776283867167014,0.00346238006354462,0.0103732976277402,0.0130982566820879,0,0,0.0413859400461694,0,0.0404439061342937,0,0,0.117133321192216,0.525277470249984,0.357589208557801,0,0.642410791442199,0,0,0.135732973313921,0.220557645750109,0.00129858949377071,0,0.895954204684865,0.104045795315135,0.0600934713245309,0.66115166724296,0,0.00291264350363914,0.101071035873233,0.174771182055638,0,0.0690283447005894,0.106203179849253,0.257960382993253,0.212065212067333,0.100660976570974,0.214232374267002,0.0398495295515947,0,3.32128900229331,6.96666666666667,1.27242135351047,1.45635212947793,284726993.766834,545,522434.85094832,0.329523045923121,143031379.684954,FALSE,FALSE
"A8123",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1.09861228866811,1.09861228866811,219475.828354155,1,219475.828354155,12.2990019403402,219475.828354155,TRUE,TRUE
"A8124",0.13388520233769,0.866114797662309,0.178495522969655,0,0.821504477030345,0,0,0,0,0,0,1,0,0,0,0,0.178495522969655,0,0.821504477030345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.13388520233769,0.0792465728780628,0.786868224784247,0,0,0,3.36493772841055,2.5,1.42956249374423,1.19687293569551,1113414.02116402,23,48409.3052680009,1.16108306498257,1113414.02116402,TRUE,TRUE
"A8125",0.71801000621588,0.28198999378412,0.162070214437571,-0.0112510054260098,0.849180790988439,0,0,0,0,0,0,1,0,0,0,0,0.162070214437571,-0.0112510054260098,0.849180790988439,0,0,0,0,0,0,0,0,0,0,0.731437152045835,0.268562847954165,0,0,1,0,0,0,0,0,0,1,0,0.162070214437571,0.837929785562429,0,0,0,0,0,0,0,0.731437152045835,0,0.28198999378412,0,-0.0134271458299551,0,1.57400822325629,2.66666666666667,0.889923178339307,1.22962648470465,9345784.39153439,23,406338.451805843,2.45597007174839,9345784.39153439,FALSE,TRUE
"A8300",0.37904515411601,0.62095484588399,0.0251671069983624,0.00234922439720402,0.967339933513366,0,0.00411955052436685,0,0.00102418456670053,0,0.352116229377858,0.55623510755682,0.0916486630653218,0.0183189975950277,0.332624405407253,0,0.00568776671761047,0.000892636676488761,0.234317508501481,0.31533719566124,0.000148641808876863,0,0,0,0.00102418456670053,0,0.0916486630653218,0,0,0.810605386298994,0.0363155260508503,0.153079087650156,0,0.788458963160731,0.00310922142078984,0,0.132332248808529,0,0.0760995666099502,0,0.464282914390713,0.535717085609287,0.013122477755929,0.190865904428066,0,0.0275513007234891,0.508411380527373,0.260048936565143,0,0.0862907547981676,0.14179219871809,0.11898294711833,0.215185437320872,0.121675286968965,0.295817745272852,0.0202556298027251,0,4.68204739712225,5.09952606635071,1.54366390755861,1.56502096893814,799782180.150898,789,1013665.62756768,0.554892856935403,346654455.45899,FALSE,FALSE
"A8301",0.286592477909466,0.713407522090534,0.0592518329509439,0.196675587716641,0.735597487146804,0.00268159552085143,0.00205782371209353,0,0.000386155487984061,0.00334951746468247,0.131419509689003,0.589870547617168,0.278709942693829,0.0386112603349873,0.0862503012773661,0,0.0203968318390359,0.189260241103394,0.226217449611392,0.153996025063346,0.000171410999785756,0.000303077801864326,0,0,5.23462894656626e-05,0.00268159552085143,0.278709942693829,0.00334951746468247,0,0.559946341668491,0.0622596185765023,0.377794039755006,0,0.630085958655076,0,0.00556309502900923,0.349706605563786,0.0143108160911501,0.000333524660978355,0,0.555459631834168,0.444540368165832,0.0587937593117235,0.424252059251818,0,0.0523662949193951,0.395156688999495,0.0694311975175677,0,0.0610625500311136,0.0614418758741013,0.154836319509048,0.317183318608553,0.0836506856090312,0.257093124760253,0.0647321256079003,0,4.43245003725533,5.68224299065421,1.42076775614622,1.47946115096469,813613068.632705,1995,407826.099565266,0.22697084148336,223371522.811344,FALSE,FALSE
"A8302",0.265934109195427,0.734065890804573,0.0369868855538431,0.00151734711146106,0.960664556820015,0.00017561134569417,0,2.80863264427345e-05,0,0.000627512842543572,0.512636357213663,0.23069200081866,0.256671641967677,0.0147673035842491,0.497665355957277,0,0.00128129892185082,0,0.0475779096961758,0.181832792200633,0,0,0,2.80863264427345e-05,0,0.00017561134569417,0.256671641967677,0,0,0.61068376341481,0.0319041260283179,0.357412110556872,0,0.505077248164159,0,0,0.15878034416865,0.223230369230981,0.11291203843621,0,0.507589792307512,0.492410207692488,0.0144476569264147,0.135899326117073,0,0.00116729920173695,0.494611862897664,0.34539866009003,0.00847519476708014,0.0872041276570022,0.0366913893210899,0.105182292534941,0.451749168038522,0.194940750515072,0.0826818148558561,0.00893870495316381,0.0326117521243533,2.98508689933992,3.61818181818182,1.26691827409059,1.36189988938833,2152129443.71516,689,3123555.07070416,0.739045124936107,715354997.284085,FALSE,FALSE
"A8303",0.567075039457468,0.432924960542532,0.0322210371765001,0.0208487364565872,0.945982069137025,0,0.000726305488432165,0.000196151298860969,0,2.57004425944383e-05,0.572839876184243,0.254869803800327,0.17229032001543,0.0318463362507352,0.540967839490914,0,0.000374700925764918,0.0202808097058564,0.133670253196791,0.100544039971915,0,0,0,0,0,0,0.17229032001543,2.57004425944383e-05,0,0.705778527581527,0.0706110788811641,0.223610393537309,0,0.82776109528257,7.04523460295894e-05,0,0.111045949655461,0.0604482235619577,0.000674279153981166,0,0.787356408881963,0.212643591118037,0.0292504711953864,0.194625812399628,0,0.00161380597189175,0.211218366777805,0.563291543655289,0,0.155104430470284,0.000966672249830953,0.352769116576853,0.244568843752432,0.0337610670071844,0.123903973086322,0.0103014403297549,0.0786244565273385,3.16129208428149,4.0062893081761,1.15146789744719,1.32767773164989,1429972446.94027,734,1948191.34460528,0.538944436873478,521409676.942047,FALSE,FALSE
