PoPstateCode,pNoEffComp,pEffComp,pPlatAir,pPlatLand,pPlatFnC,pPlatOther,pPlatMnS,pPlatEnC,pPlatWnA,pPlatVessel,pPSRProducts,pRnD,pPSRServices,pPscAir,pPscLand,pPscOther,pPscRnD,pPscERS,pPscFRSnC,pPscCloth,pPscEngines,pPscPAMS,pPscEnC,pPscMED,pPscFuels,pPscLnM,pPscICT,pPscShips,pPscMnS,pPriceCost,pPriceFixed,pPriceTime,pPriceOther,pFeeFixed,pFeeNone,pFeeEPA,pFeeAward,pFeeEffort,pFeeIncentive,pFeeRedermination,pAward,pIDV,pVehDef,pVehMAC,pVehSAC,pVehFSS,pVehOIDV,pVehPur,pVehBPA,pNoCompOther,pComp1Offer,pNoComp1Source,pComp2Offers,pComp3or4Offers,pComp5pOffers,pNoCompFollowOn,pCompNo.Comp...Unlabeled.,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude,PredFit90,PredLwr90,PredUpr90,PredFit95,PredLwr95,PredUpr95
FL,0.479099407,0.520900593,0.066922489,0.014658129,0.214543021,0.326114821,0.096506763,0.182344279,0.066061476,0.032849021,0.408742303,0.087856157,0.50340154,0.04947828,0.010044163,0.114316659,0.087856157,0.143590056,0.144991249,0.022536771,0.010855979,0.154179352,0.061975787,0.006798103,0.004264138,0.040867502,0.053842781,0.011978513,0.082424511,0.223714332,0.762432192,0.012204268,0.001649208,0.13401647,0.736639607,0.012237372,0.049648382,0.001649208,0.064534524,0.001274438,0.501519386,0.498480614,0.46150383,0.147044108,0.318923109,0.012612744,0.012894624,0.040699211,0.006322373,0.090652262,0.064342962,0.320494399,0.144025252,0.19242911,0.184446231,0.003598212,1.16E-05,7.049168311,37.9628483,1.560398909,2.45396365,9734524047,35755,272256.3011,0.043192868,9734524047,FALSE,0.517685752,0.320238469,0.715133035,0.517685752,0.28085576,0.754515744
GA,0.656515358,0.343484642,0.469749615,0.010536264,0.238178246,0.193746378,0.001413284,0.077984646,0.003651117,0.00474045,0.549946958,0.039330519,0.410722523,0.448765061,0.007798925,0.033758377,0.039330519,0.055625217,0.19781007,0.010423691,0.00989369,0.121643688,0.023413983,0.007010565,0.007770271,0.003350407,0.028632983,0.004419272,0.00035328,0.401176855,0.585352731,0.013199984,0.00027043,0.103713359,0.704250583,0.008040453,0.026343433,0.00027043,0.157381742,0,0.57917641,0.42082359,0.539121196,0.130449581,0.252337865,0.020263288,0.010928582,0.040865749,0.006033739,0.064328042,0.057590548,0.532716798,0.076233675,0.097306338,0.16994463,0.001930428,-5.05E-05,9.3893134,26.96868009,1.711934501,2.37630968,6321264106,17498,361256.3782,0.064168355,6321264106,FALSE,0.329116617,0.128099544,0.53013369,0.329116617,0.088004807,0.570228427
GU,0.080334522,0.919665478,0.001433541,0.00394389,0.814160724,0.142373228,0,0.012505235,0.001027118,0.024556264,0.090715614,5.26E-05,0.909231782,0.000155685,0.000662816,0.016207094,5.26E-05,0.078699826,0.774210693,0.034560343,0.000223838,0.047402408,0.004614419,0.002285109,0.034121306,8.19E-05,0.006633745,1.12E-05,7.70E-05,0.183673439,0.816410331,-8.38E-05,0,-0.000118303,0.810273101,0.006155367,0.183689835,0,0,0,0.348600899,0.651399101,0.32556442,0.468479479,0.172915512,0.004122507,8.85E-05,0.023867759,0.004961794,0.024751311,0.047098673,0.008480656,0.07426618,0.238391958,0.60700734,3.88E-06,0,5.360265501,7.549180328,1.762002585,1.87839183,734173221.3,2981,246284.2071,0.136405621,734173221.3,FALSE,0.871035445,0.661043645,1.081027244,0.871035445,0.619158815,1.122912075
HI,0.278476288,0.721523712,0.000851597,0.000929866,0.606225485,0.224585209,0.006562995,0.082330347,0.004389348,0.074125154,0.114572203,0.02849551,0.856932287,9.29E-05,0.000381696,0.018852157,0.02849551,0.12761613,0.545433937,0.024111178,0.000752395,0.117677063,0.026346014,0.018909311,0.040726243,9.96E-05,0.047295847,0.003132683,7.72E-05,0.126651085,0.868540134,0.002235722,0.002573058,0.041053733,0.846246749,0.009951681,0.086167195,0.002573058,0.008381872,0.005625711,0.41050072,0.58949928,0.363875699,0.287036724,0.234741937,0.015466492,0.041700466,0.047020902,0.01015778,0.124888763,0.11491162,0.036184442,0.126784187,0.251168465,0.343571061,0.000381765,0.002109697,9.060144258,29.30421687,1.676177157,2.243412859,2128820426,9402,226422.0832,0.086404003,2128820426,FALSE,0.830865196,0.63482707,1.026903322,0.830865196,0.595725431,1.066004961
IA,0.674341874,0.325658126,0.443063025,0.001763877,0.137942459,0.162084713,0.000345767,0.188646397,0.065422311,0.000731451,0.726892621,0.081169637,0.191937742,0.437007641,0.001251633,0.079637064,0.081169637,0.025039805,0.083693978,0.001301816,0.009808816,0.074022753,0.150141939,0.000111715,0.000443192,0.046184455,0.009069491,0.000720244,0.000395821,0.241112798,0.753384879,0.005416096,8.62E-05,0.16127029,0.744872843,0.001622069,0.000514564,8.62E-05,0.091634008,0,0.47264498,0.52735502,0.437130226,0.166366059,0.317287186,0.017128075,0.023546146,0.035517794,0.003024513,0.037047921,0.053182917,0.584205593,0.154726827,0.116733044,0.054198255,-1.60E-05,-7.85E-05,17.9978351,31.92134831,1.475635605,2.029244609,1101085706,3326,331054.0307,0.150407973,1101085706,FALSE,0.288254186,0.088427891,0.488080482,0.288254186,0.048570666,0.527937707
ID,0.229738904,0.770261096,0.012825688,0.013939405,0.464720018,0.42636093,3.09E-05,0.075119857,0.000581381,0.006421812,0.384288616,0.049450661,0.566260723,0.005601981,0.010624727,0.047204175,0.049450661,0.036768957,0.41550611,0.024794469,0.002413472,0.106418421,0.035305828,0.002739936,0.253054024,-8.09E-05,0.004827299,0.003753083,0.001617755,0.044555999,0.955453723,-9.72E-06,0,0.04424256,0.72466167,0.23109577,0,0,0,0,0.4348428,0.5651572,0.35794524,0.146819367,0.374527227,0.031251332,0.001869694,0.082207974,0.005379167,0.110219762,0.099610092,0.019088299,0.096473237,0.270909754,0.402878106,0.000648504,0.000172246,15.18124946,13,2.138294071,2.072467967,158860293.2,2197,72307.82574,0.169404053,158860293.2,FALSE,0.745883768,0.551190983,0.940576553,0.745883768,0.512357685,0.979409852
IL,0.391635728,0.608364272,0.133107333,0.054623535,0.248383545,0.304305869,0.001023333,0.196989535,0.051290326,0.010276523,0.556857985,0.116892722,0.326249293,0.124550956,0.040570489,0.098446581,0.116892722,0.028448267,0.15162489,0.114518153,0.02021413,0.063017627,0.099629608,0.007374822,0.000469128,0.048158086,0.075783688,0.009973016,0.000327837,0.198873752,0.782739548,0.01838674,-4.04E-08,0.157753837,0.769916461,0.0335242,0.03508692,-4.04E-08,0.003775986,-5.74E-05,0.343636358,0.656363642,0.314117616,0.145819382,0.395885936,0.041751365,0.043126132,0.036161751,0.023137818,0.071817402,0.075557763,0.23493025,0.322129614,0.134227826,0.152006833,0.009272986,5.73E-05,5.774418187,34.57718121,1.40196818,2.388844056,4288977290,55636,77089.96495,0.018252156,4288977290,FALSE,0.514459347,0.316178805,0.71273989,0.514459347,0.276629895,0.7522888
IN,0.593102507,0.406897493,0.306620164,0.105804958,0.079347061,0.325708028,0.010653906,0.154010652,0.016903223,0.000952007,0.693792504,0.049988477,0.256219019,0.171640272,0.097996344,0.044131072,0.049988477,0.021744522,0.043305273,0.04202163,0.133881545,0.162488552,0.103301422,0.003483429,0.079725413,0.010534473,0.025197245,0.000242804,0.010317529,0.161671241,0.83405136,0.003064818,0.001212581,0.111000119,0.771833232,0.071128124,0.000471066,0.001212581,0.044227739,0.000127139,0.290766091,0.709233909,0.253680028,0.132408915,0.50003716,0.017626761,0.041284031,0.037995697,0.016967408,0.034934782,0.13482128,0.424393492,0.083086977,0.156377587,0.167432928,-0.001047047,0,7.627106587,24.66567164,1.621881454,2.200212749,2463341563,12013,205056.3192,0.079819585,2463341563,FALSE,0.498993314,0.293394137,0.704592492,0.498993314,0.252385456,0.745601172
KS,0.535073333,0.464926667,0.462060333,0.002628114,0.308067002,0.19044493,0.001541399,0.027278644,0.007080531,0.000899046,0.397105092,0.005810868,0.59708404,0.306830011,0.002352748,0.025720269,0.005810868,0.189398212,0.274659791,0.033862598,0.005157758,0.121158141,0.016489686,0.007816778,0.000316571,0.005433499,0.004051118,0.000898564,4.34E-05,0.10399818,0.890473203,0.005528617,0,0.030081211,0.892325787,0.000726143,0.036752155,0,0.031173927,0.008940776,0.449667649,0.550332351,0.411887932,0.076070766,0.450667836,0.014345679,0.004898981,0.037773834,0.004354971,0.15205218,0.026738947,0.354839667,0.112236772,0.087742594,0.264947301,0.001442539,0,6.154099728,18.06465517,1.687186749,2.192153371,1554604995,6187,251269.5968,0.111176174,1554604995,FALSE,0.544027526,0.343089924,0.744965127,0.544027526,0.303011038,0.785044013
KY,0.115273152,0.884726848,0.033589312,0.001218002,0.171266372,0.721361184,0.0024852,0.029446697,0.03604747,0.004585762,0.12377549,0.005022256,0.871202254,0.020365448,0.000756391,0.02077997,0.005022256,0.019793708,0.152249898,0.015214735,0.000728067,0.104632816,0.025078113,0.591686656,0.000762515,0.033303599,0.002839176,0.004508096,0.002278556,0.746818909,0.252968912,0.000212178,0,0.658860569,0.252522781,0.001122642,-2.21E-05,0,0.087516122,0,0.785482701,0.214517299,0.774535225,0.045919769,0.153797297,0.004291023,0.008214938,0.011730098,0.00151165,0.036735339,0.017493404,0.060596485,0.620464919,0.165077369,0.09918456,0.000187219,0.000260704,3.612874203,22.15789474,1.317501137,2.227753862,5972337025,6775,881525.7602,0.1137969,5972337025,FALSE,0.830666478,0.615597734,1.045735222,0.830666478,0.572700259,1.088632696
LA,0.198324948,0.801675052,0.001085724,0.029658164,0.611756543,0.241236566,6.43E-05,0.045706773,0.002523416,0.067968544,0.244498569,0.002680121,0.752821311,0.000602979,0.026587053,0.041814148,0.002680121,0.06180547,0.555964476,0.002048209,0.003516254,0.099105684,0.010079633,0.00671181,0.100143093,0.001454778,0.029233871,0.058101888,0.000150534,0.067209524,0.930320588,0.001569689,0.0009002,0.036177984,0.88965526,0.014529601,0.029727455,0.0009002,0.029003683,5.82E-06,0.656484492,0.343515508,0.619363669,0.071152813,0.258219315,0.006373976,0.005677082,0.037349645,0.0018635,0.093345201,0.057153143,0.045165919,0.109009247,0.236708136,0.455957669,0.002664584,-3.90E-06,8.321905941,22.2155477,1.905091282,2.289757447,2076684067,7887,263304.687,0.089846594,2076684067,FALSE,0.751465283,0.555399217,0.947531348,0.751465283,0.516292005,0.98663856
MA,0.805066399,0.194933601,0.114227855,0.003319641,0.049469248,0.259335801,0.17696202,0.296123913,0.094975389,0.005586133,0.512901935,0.295269344,0.191828721,0.010646761,0.000902633,0.016053414,0.295269344,0.019716952,0.031555047,0.009713776,0.105479737,0.118390862,0.181865117,0.017067062,0.001264641,0.091633614,0.005098799,0.003961675,0.091380567,0.397478106,0.574516185,0.002333543,0.025672166,0.194333339,0.660308306,0.003615707,0.020878138,0.025672166,0.09494901,0.000243332,0.683459203,0.316540797,0.665656187,0.023653493,0.267532552,0.007894663,0.01482873,0.017848737,0.002585639,0.27344404,0.12088687,0.410061287,0.050603971,0.061693538,0.082636093,0.000674244,-4.20E-08,16.5523002,56.66,1.440293041,2.706957907,9433326756,15707,600581.063,0.090257185,9433326756,FALSE,0.384911044,0.183247667,0.586574421,0.384911044,0.143024019,0.626798069
MD,0.444741218,0.555258782,0.08152266,-0.000506247,0.172620561,0.409195088,0.007780503,0.259901761,0.00915555,0.060330124,0.243200742,0.152480695,0.604318563,0.045844352,0.000899895,0.035308719,0.152480695,0.05303675,0.128090489,0.008653476,0.001277219,0.254476493,0.083923617,0.046383372,0.000671646,0.003632835,0.122331458,0.059637659,0.003351325,0.392908986,0.585609402,0.014855818,0.006625794,0.345734218,0.548550105,0.001308018,0.01442401,0.006625794,0.082891835,0.000466019,0.411120482,0.588879518,0.378486291,0.257410314,0.242952764,0.031823142,0.0472767,0.032973356,0.009077433,0.114334391,0.122965711,0.196010486,0.199564103,0.155540196,0.200154483,0.011107598,0.000323032,9.084343088,37.49081365,1.473366949,2.454781364,12940015359,31211,414597.9097,0.059728325,12940015359,FALSE,0.556294927,0.363838302,0.748751552,0.556294927,0.325451027,0.787138827
ME,0.367253342,0.632746658,0.007619276,0.000634589,0.099201805,0.267137293,0.016592617,0.013879884,0.003780981,0.591153553,0.571570975,0.001160006,0.427269019,0.007517094,0.000326551,0.006721252,0.001160006,0.080059027,0.082327226,0.011006561,0.001212831,0.017954613,0.007416085,0.2418081,5.85E-05,0.017737856,0.005120053,0.516967143,0.002607063,0.141758038,0.858170616,7.13E-05,0,0.036334401,0.411630242,0.000462522,0.105424138,0,0.446148698,0,0.852302454,0.147697546,0.841015426,0.048305997,0.06413753,0.002056732,0.031888459,0.011592452,0.001003403,0.231795501,0.014877108,0.120130936,0.549013799,0.039710258,0.044022602,0.000449797,0,2.56189035,10.51937984,1.1874077,1.838211328,1421632674,1547,918961.0047,0.299034208,1421632674,FALSE,0.535441297,0.328287636,0.742594958,0.535441297,0.286968899,0.783913695
MI,0.675907691,0.324092309,0.026207997,0.541062595,0.150308198,0.204490232,0.001330806,0.042396311,0.032350505,0.001853357,0.729676432,0.080767114,0.189556453,0.017232078,0.489030851,0.141203115,0.080767114,0.045146064,0.046222326,0.030105613,0.020711622,0.082651096,0.017595943,0.000958577,0.007760486,0.00475967,0.01457839,0.000953797,0.000323256,0.419059488,0.572186361,0.000166259,0.008587892,0.329982761,0.491608039,0.011384883,5.06E-06,0.008587892,0.157468693,0.000962673,0.421041121,0.578958879,0.36838176,0.050573661,0.493586839,0.019607416,0.003162212,0.052694001,0.011994111,0.133439772,0.032619514,0.510512209,0.089067554,0.149140519,0.085884236,0.001108079,-0.001771884,14.53444023,45.02139037,1.6310181,2.519435343,2432583004,11539,210814.0223,0.048158625,2432583004,FALSE,0.417282077,0.204782576,0.629781577,0.417282077,0.162397561,0.672166592
MN,0.109368641,0.890631359,0.00514469,0.002675319,0.018739452,0.803185456,0.008433799,0.050776522,0.110412885,0.000631877,0.188447702,0.024609135,0.786943163,0.003348608,0.002338215,0.010883957,0.024609135,0.002626083,0.008723878,0.007480826,0.032036466,0.003308744,0.013685818,0.770977426,0.000792759,0.10963697,0.001307031,0.000499987,0.007744096,0.832703562,0.167196077,-0.000219366,0.000319726,0.810667926,0.150618243,0.008456665,0.012235038,0.000319726,0.01680762,0.000894782,0.887505072,0.112494928,0.871636062,0.045586843,0.05968508,0.003429699,0.002872136,0.015870818,0.000919362,0.018874913,0.012772839,0.066991444,0.827106406,0.010073605,0.053451347,0.010720199,9.25E-06,8.324003914,30.45614035,1.18874064,2.273826418,3853424503,4801,802629.557,0.117094427,3853424503,FALSE,0.925485747,0.689662053,1.16130944,0.925485747,0.64262481,1.208346684
MO,0.711756642,0.288243358,0.573815495,0.004092841,0.097726687,0.189543299,0.013430582,0.046733003,0.07347863,0.001179463,0.716498993,0.013484248,0.270016759,0.560565345,0.003078932,0.029830759,0.013484248,0.060596061,0.064236432,0.003788046,0.008025531,0.039204026,0.031783914,0.102009799,0.000657786,0.061088845,0.003970441,0.000304073,0.017375763,0.104054912,0.895155562,0.000683722,0.000105804,0.069080977,0.464832344,0.031632454,0.004549927,0.000105804,0.429798494,0,0.612620745,0.387379255,0.600008962,0.057779349,0.246688651,0.003190821,0.07810846,0.013398722,0.000825035,0.152311902,0.045495265,0.51365126,0.087579882,0.04623719,0.154426286,0.000298214,0,5.500105083,21.53631285,1.548784988,2.194047173,7023922827,16986,413512.4707,0.056783255,7023922827,FALSE,0.338882992,0.136346419,0.541419564,0.338882992,0.095948604,0.581817379
MP,0.507194718,0.492805282,0,0,0.116322945,0.790748645,0,0.040141339,0,0.052787071,0.415888556,0,0.584111444,0,0,0.415888556,0,0.14372023,-0.133256229,0,0,0.533506104,0,0,0,0,0.040141339,0,0,0.090652106,0.909347894,0,0,0.090652106,0.909347894,0,0,0,0,0,0.472829083,0.527170917,0.04397384,0.602828193,-0.108614532,0,0,0.428855243,0.032957256,0.013065009,0.396431744,0.097697965,0.089243727,0,0.403561555,0,0,7.99396614,6.363636364,1.765811157,1.511009858,457956.8182,22,20816.21901,1.74332862,457956.8182,TRUE,0.393718833,0.014005739,0.773431928,0.393718833,-0.061731592,0.849169259
MS,0.292404914,0.707595086,0.285099999,0.001738101,0.130139343,0.070704508,-0.000812786,0.092930947,0.000714813,0.419485076,0.504024071,0.014735922,0.481240007,0.017079981,0.001116203,0.01780165,0.014735922,0.285944838,0.110001923,0.018057984,0.002895586,0.034865979,0.043541425,0.002693693,0.000306246,0.000545082,0.047733574,0.402607872,7.20E-05,0.120111554,0.87990863,-0.000351628,0.000331444,0.071524407,0.559863198,0.003980836,0.043509193,0.000331444,0.320790922,0,0.638723366,0.361276634,0.623151295,0.038050251,0.272239576,0.008141297,0.033328775,0.01572014,0.009368667,0.057431948,0.020718378,0.214076271,0.439853356,0.127136567,0.140605162,0.000133104,4.52E-05,3.537983392,14.10074627,1.361901087,2.037410133,2270045907,4839,469114.6739,0.160522043,2270045907,FALSE,0.526526772,0.33281752,0.720236024,0.526526772,0.294180396,0.758873148
MT,0.427421413,0.572578587,0.014798701,0.013004999,0.477591288,0.424554647,0.00092284,0.066005872,0.001740695,0.001380958,0.315291989,0.025502951,0.659205061,0.013230846,0.012371096,0.123546082,0.025502951,0.006840976,0.357733222,0.010083322,0.003828005,0.276013796,0.047439648,0.009024618,0.102686385,0.000853208,0.009592449,0.000974314,0.000279084,0.119212266,0.88031084,0.000476893,0,0.040981438,0.867645411,0.094019854,2.94E-05,0,-0.00267608,0,0.440812537,0.559187463,0.331532085,0.113825902,0.41512478,0.016020551,0.00016855,0.109349379,0.013978752,0.199588124,0.155436304,0.071185811,0.069624298,0.205056229,0.29789806,0.001211174,0,13.91819856,19.6,1.69993878,2.117060253,203762723.6,2172,93813.40864,0.150735274,203762723.6,FALSE,0.632780843,0.426632629,0.838929057,0.632780843,0.385514438,0.880047248
