PoPstateCode,pNoEffComp,pEffComp,pPlatAir,pPlatLand,pPlatFnC,pPlatOther,pPlatMnS,pPlatEnC,pPlatWnA,pPlatVessel,pPSRProducts,pRnD,pPSRServices,pPscAir,pPscLand,pPscOther,pPscRnD,pPscERS,pPscFRSnC,pPscCloth,pPscEngines,pPscPAMS,pPscEnC,pPscMED,pPscFuels,pPscLnM,pPscICT,pPscShips,pPscMnS,pPriceCost,pPriceFixed,pPriceTime,pPriceOther,pFeeFixed,pFeeNone,pFeeEPA,pFeeAward,pFeeEffort,pFeeIncentive,pFeeRedermination,pAward,pIDV,pVehDef,pVehMAC,pVehSAC,pVehFSS,pVehOIDV,pVehPur,pVehBPA,pNoCompOther,pComp1Offer,pNoComp1Source,pComp2Offers,pComp3or4Offers,pComp5pOffers,pNoCompFollowOn,pCompNo.Comp...Unlabeled.,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude,PredFit90,PredLwr90,PredUpr90,PredFit95,PredLwr95,PredUpr95
AK,0.275402093,0.724597907,0.005301318,0.001011069,0.660075646,0.273242131,0.002916369,0.052776224,0.004642855,3.44E-05,0.18159674,0.017935505,0.800467755,0.000988631,0.000523028,0.016592918,0.017935505,0.022634377,0.6211381,0.002323088,0.000172801,0.123702939,0.00910435,0.010133401,0.148215309,0.003450637,0.022858938,6.55E-06,0.000219423,0.093987125,0.902765061,0.003233699,1.41E-05,0.075875711,0.732550159,0.121344231,0.014537965,1.41E-05,0.055677819,0,0.467865238,0.532134762,0.444897058,0.161905975,0.351019932,0.009807092,0.001937607,0.027239923,0.003192413,0.150951484,0.063875675,0.050353382,0.119083661,0.239174015,0.366340231,0.010103596,0.000117956,6.971967201,9.545454545,1.794162899,1.960771138,1489589096,4089,364291.7817,0.1721567,1489589096,FALSE,0.807839186,0.613818485,1.001859887,0.807839186,0.57511924,1.040559132
AL,0.184797339,0.815202661,0.098898958,0.008101812,0.090687943,0.536686526,0.08922983,0.076003617,0.002752832,0.097638481,0.225976618,0.208993326,0.565030056,0.032034048,0.007774699,0.015111813,0.208993326,0.120218262,0.072390943,0.004290239,0.005859294,0.328032232,0.02806325,0.000597875,0.007097949,0.000940035,0.043790744,0.091823369,0.032981923,0.485510664,0.441276533,0.071780535,0.001432268,0.225306168,0.417901267,0.00680459,0.077912849,0.001432268,0.270316409,0.000326448,0.425290722,0.574709278,0.413351562,0.168656705,0.369373341,0.011786414,0.007338667,0.012188935,0.017304375,0.031866892,0.077444696,0.073920107,0.324904001,0.280673679,0.20962498,0.001561441,4.20E-06,4.910285303,45.81957774,1.434801798,2.440825295,8811520050,13019,676820.0361,0.103311302,8811520050,FALSE,0.556262988,0.355775739,0.756750238,0.556262988,0.31578668,0.796739297
AR,0.216068398,0.783931602,0.014628349,0.003440595,0.598226512,0.114358222,0.028983893,0.019419273,0.220409278,0.000533877,0.3118499,0.007121317,0.681028783,0.008434183,0.001515827,0.044750656,0.007121317,0.063421683,0.548572078,0.005445852,0.002164841,0.053215971,0.006757198,0.006876821,0.000717616,0.085594867,0.008942229,0.000461022,0.156007839,0.013838068,0.985603797,0.000558136,0,0.013849704,0.956103262,0.030035318,1.17E-05,0,0,0,0.605207082,0.394792918,0.575440889,0.13032539,0.239606688,0.008370909,0.014900153,0.029766193,0.001589778,0.044585872,0.055178562,0.114874589,0.451563344,0.174025025,0.158343233,0.001429374,0,3.587920085,10.09433962,1.357479484,2.04478589,600389982.6,2235,268630.8647,0.158666927,600389982.6,FALSE,0.79327979,0.596523422,0.990036158,0.79327979,0.557278522,1.029281058
AS,0.112024553,0.887975447,0,0,0.541550862,0.258712569,0,0.199736569,0,0,0.006789957,0,0.993210043,0,0,0,0,0.424825522,0.541550862,0.006789957,0,0.008022963,0,0,0,0,0.018810696,0,0,0,1,0,0,0,0.855066831,0.144933169,0,0,0,0,0.691351759,0.308648241,0.683328796,0.325859042,-0.024000758,0,0,0.008022963,0.006789957,0.117777176,0.018248135,-0.024000758,0.539382875,0.02273353,0.325859042,0,0,6.201808709,5,1.619245604,1.395697289,2385876.638,23,103733.7669,2.252644488,2385876.638,TRUE,0.962135018,0.754121892,1.170148145,0.962135018,0.712631727,1.21163831
AZ,0.815974417,0.184025583,0.318799602,0.023697235,0.052446974,0.087867658,0.381571146,0.066317823,0.069093895,0.000205665,0.760893079,0.084256365,0.154850556,0.310682919,0.00174885,0.014343132,0.084256365,0.035018984,0.040503806,0.003492373,0.024449248,0.060148687,0.026413462,0.002828961,0.000122561,0.043705175,0.016350117,0.000100873,0.335834487,0.257392136,0.7416996,0.000908561,-2.97E-07,0.176519351,0.554548736,0.011543178,0.059359065,-2.97E-07,0.198029967,0,0.8237944,0.1762056,0.815646084,0.046563862,0.104592238,0.004624163,0.014521282,0.012102493,0.001949878,0.052222851,0.018123249,0.743980984,0.060077474,0.080086576,0.043861533,0.001451982,0.000195351,7.680517712,30.83928571,1.52261386,2.290005643,9569521012,11954,800528.7779,0.104013779,9569521012,FALSE,0.245936908,0.044147704,0.447726112,0.245936908,0.003898959,0.487974858
CA,0.502232133,0.497767867,0.150632591,0.007857173,0.130253223,0.394430149,0.16685926,0.089715108,0.014256214,0.045996282,0.380945064,0.13896921,0.480085727,0.099446327,0.006195415,0.027886584,0.13896921,0.100994085,0.104032177,0.06350527,0.005044857,0.149494704,0.038881636,0.104736859,0.020609556,0.005320765,0.020827902,0.017475364,0.096579291,0.443962819,0.553704716,0.001539182,0.000793283,0.325033545,0.433306239,0.019631997,0.033233397,0.000793283,0.18755616,0.00044538,0.547052074,0.452947926,0.522637049,0.106697676,0.283274475,0.014350037,0.041981908,0.027618134,0.00344072,0.067128952,0.061869566,0.370493476,0.21836714,0.145361129,0.134039598,0.002487828,0.00025231,8.974701296,45.80686275,1.486057364,2.714361139,30594020064,101493,301439.7058,0.018844644,30594020064,FALSE,0.482716845,0.28944999,0.6759837,0.482716845,0.250901107,0.714532583
CO,0.617907748,0.382092252,0.003723714,0.002048783,0.133556182,0.621478295,0.131053341,0.086566021,0.018818826,0.002754838,0.097509014,0.168710347,0.733780639,0.002732249,0.00197101,0.019929057,0.168710347,0.47445497,0.117511363,0.002259692,0.000259438,0.116927228,0.028486565,0.005929475,0.011796046,0.011677421,0.018957603,0.002413768,0.015983768,0.268080592,0.729815434,0.001365271,0.000738704,0.100506078,0.711904141,0.011372327,0.102120842,0.000738704,0.073304123,5.38E-05,0.722890004,0.277109996,0.703459901,0.086752235,0.16416593,0.013033603,0.010630497,0.019670764,0.00228707,0.035216485,0.101991677,0.477663116,0.126681866,0.12074567,0.134664717,0.00299676,3.97E-05,6.534707362,43.91897655,1.472285053,2.375986804,5764974237,8094,712252.8092,0.148526976,5764974237,FALSE,0.616048398,0.415876476,0.816220321,0.616048398,0.375950312,0.856146485
CT,0.943777347,0.056222653,0.401817348,0.001196593,0.015095267,0.042394766,0.000871055,0.011234501,0.005455311,0.521935158,0.891347003,0.05676603,0.051886967,0.21399344,0.001064872,0.010584778,0.05676603,0.032703455,0.009791874,0.000862621,0.130204747,0.007794395,0.006847011,0.000291193,0.000547231,0.005495585,0.00130605,0.521600191,0.000146526,0.521688472,0.477432721,0.000880318,-1.51E-06,0.463810843,0.291386871,0.000465508,0.012386867,-1.51E-06,0.231948781,2.64E-06,0.865145176,0.134854824,0.855509051,0.009805117,0.089138447,0.000968624,0.034474048,0.009644306,0.000460407,0.016609222,0.040403017,0.885945012,0.032982931,0.006865507,0.016374215,0.000820653,-5.57E-07,14.7756554,41.26190476,1.319916976,2.327953006,13205781055,13973,945092.7542,0.06502275,13205781055,FALSE,0.243130036,0.035449238,0.450810834,0.243130036,-0.005974642,0.492234713
DC,0.421413843,0.578586157,0.000536108,5.11E-05,0.107578587,0.563473947,0.011171808,0.219009446,0.00047723,0.097701743,0.16871116,0.059682033,0.771606807,0.000530549,2.80E-05,0.010171471,0.059682033,0.024847756,0.08149012,0.02148775,0.00025753,0.498205912,0.042673549,0.00118067,8.64E-07,1.10E-06,0.165882349,0.093537673,2.26E-05,0.42483978,0.545875768,0.021661885,0.007622568,0.28817818,0.589464857,0.007289363,0.019341972,0.007622568,0.08810306,0,0.350676417,0.649323583,0.337057246,0.33072475,0.184637858,0.062142989,0.053916476,0.013659932,0.017860749,0.193800712,0.098411887,0.105483273,0.116126184,0.255818823,0.206641149,0.023716416,1.56E-06,4.804599947,22.4,1.519654574,2.06966557,4191542227,6623,632876.6763,0.208532318,4191542227,FALSE,0.605742236,0.392265413,0.81921906,0.605742236,0.349685462,0.86179901
DE,0.202790755,0.797209245,0.013286992,0.007147195,0.428741893,0.513230041,0.001417285,0.033983192,0.001637683,0.000555719,0.512174409,0.01628978,0.471535811,0.010883049,0.006206871,0.026382915,0.01628978,0.011828321,0.389622864,0.011982372,0.013957872,0.055714821,0.007457653,0.004032226,0.434452301,0.000300413,0.010337579,0.000551997,-1.03E-06,0.01031323,0.98968677,0,0,0.004284717,0.646080208,0.349635075,0,0,0,0,0.113912403,0.886087597,0.074019938,0.28102383,0.586473808,0.015904231,0.000445583,0.039892465,0.002240145,0.08122005,0.0648203,0.046264679,0.033171708,0.286423087,0.47761445,0.010503098,-1.74E-05,14.51603993,50.7265625,2.329555675,2.229948053,402938060.6,1709,235774.1724,0.194906942,402938060.6,FALSE,0.865418078,0.65259162,1.078244536,0.865418078,0.61014139,1.120694766
