MajorCommandID,pNoEffComp,pEffComp,pPlatOther,pPlatFnC,pPlatEnC,pPlatWnA,pPlatLand,pPlatVessel,pPlatAir,pPlatMnS,pPSRServices,pPSRProducts,pRnD,pPscPAMS,pPscOther,pPscERS,pPscEnC,pPscMED,pPscFRSnC,pPscLnM,pPscICT,pPscRnD,pPscMnS,pPscEngines,pPscCloth,pPscLand,pPscAir,pPscShips,pPscFuels,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeRedermination,pFeeEPA,pFeeAward,pFeeIncentive,pFeeEffort,pFeeFixed,pAward,pIDV,pVehPur,pVehFSS,pVehMAC,pVehDef,pVehSAC,pVehOIDV,pVehBPA,pCompNo Comp. (Unlabeled),pNoComp1Source,pNoCompOther,pComp2Offers,pComp1Offer,pComp3or4Offers,pComp5pOffers,pNoCompFollowOn,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,TotalThreshold,AnnualThreshold,Exclude
ORG-2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0,0,"[0.00e+00,1.00e+06)","[0.00e+00,1.00e+06)",TRUE
ORG-2762,0.924959604,0.075040396,0.201993893,0.3672132,0.387284418,0.043508488,0,0,0,0,0.375608186,0.624391814,0,0.094003313,0.262740533,0.101125841,0.318142792,0.100063363,0.013661088,0.043508488,0.066754581,0,0,0,0,0,0,0,0,1,0,0,0,0.986615095,0.005916925,0.00746798,0,0,0,0,0.294222528,0.705777472,0.149966038,0.656098521,0.046060821,0.145036203,0.002838417,0,0,0.461314755,0.043393957,0,0.016467057,0.420250891,0.029641694,0.028931646,0,1.519274579,2.3,0.832626198,1.07381343,25029299.12,97,258034.0116,0.940394677,13671894.18,"[1.00e+07,1.00e+08)","[1.00e+07,1.00e+08)",TRUE
ORG-2773,0.424295172,0.575704828,0.067173819,0.730683021,0.202113481,0,2.97E-05,0,0,0,0.86905327,0.129921515,0.001025215,0.051878185,0.066277143,0.678242146,0.063543651,0,0.000454949,0,0.13847799,0.001025215,4.13E-05,5.94E-05,0,0,0,0,0,0.980900034,0.018996673,0.000103293,0,0.999912703,7.33E-05,-1.41E-06,1.54E-05,0,0,0,0.068322186,0.931677814,0.040241164,0.453592374,0.135928178,0.028088911,0.337818733,5.46E-05,0.004275999,0.000712405,0.010155152,0.04655098,0.169607629,0.403687024,0.31166327,0.054753403,0.002870137,2.219683782,4.143266476,1.086084498,1.440139258,1329852020,15939,83433.84277,0.158819433,227609941.2,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2774,0.259194506,0.740805494,0.174321167,0.634862903,0.185170906,0.000504601,0.002585884,0.000101396,0.002434648,1.85E-05,0.756517975,0.243158461,0.000323564,0.044935706,0.155522903,0.033927896,0.072615873,0.002923715,0.567299217,0.000500289,0.107431441,0.000323564,0.00023634,0.00351345,0.004710393,0.002426425,0.002299076,9.08E-05,0.001242881,0.89167127,0.044357003,0.063960527,1.12E-05,0.792502081,0,0.009080051,0,0.171322744,1.12E-05,0.027083924,0.467827258,0.532172742,0.086762018,0.156197418,0.026263353,0.381144844,0.327797126,0.020971695,0.000863547,0.000105666,0.015766459,0.101889562,0.117907902,0.205147997,0.177796778,0.379480476,0.00190516,5.055765237,7.230486685,1.543633422,1.840458365,2170949072,20306,106911.7045,0.10034443,330933773.1,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2775,0.114968542,0.885031458,0.959795215,0.038490706,0.001473242,1.73E-05,7.62E-05,0.000147125,2.10E-07,0,0.046302811,0.95359968,9.75E-05,0.005555081,0.018258238,0.001524936,0.000299942,8.01E-06,0.038426333,0,0.000788449,9.75E-05,2.02E-07,0.000384977,0.003494454,1.25E-07,2.10E-07,0.000147125,0.931014406,0.997119767,0.002815486,6.84E-06,5.79E-05,0.086914837,0.004098853,0.908620381,0.000314634,1.12E-05,3.83E-05,1.80E-06,0.041665367,0.958334633,0.002334047,0.005401289,0.014774237,0.039356045,0.937802675,0.000290688,4.10E-05,0.000696133,0.005180282,0.00157566,0.029914403,0.015436742,0.043510137,0.903624613,6.20E-05,23.60278439,18.7031346,2.940692773,2.253753345,1.64845E+11,31384,5252516.879,0.209433719,22513304569,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2776,0.59926765,0.40073235,0.628131559,0.331893653,0.038305888,0.001580633,8.83E-05,0,0,0,0.734761088,0.259144047,0.006094865,0.442092932,0.226451058,0.016748108,0.030916076,0.004577585,0.264519749,0.001580633,0.006822714,0.006094865,0,0,0,0.000196279,0,0,0,0.975858029,0.019686864,0.004455107,0,0.998125026,6.24E-05,0,0,0.001812567,0,0,0.622604075,0.377395925,0.099030022,0.201578293,0,0.523574053,0.175420324,0,0.000397308,0.003715175,0.163992293,0.194307864,0.156344754,0.236468319,0.183708882,0.06141174,5.10E-05,2.462713056,3.671957672,1.133705088,1.346881335,127141825.3,689,184530.9511,1.657624587,23511966.39,"[1.00e+08,9.07e+11]","[1.00e+07,1.00e+08)",TRUE
ORG-2777,0.173466543,0.826533457,0.156960937,0.817928535,0.021486761,0.000557493,0.002824406,-1.02E-05,0.000252019,0,0.941533449,0.058040088,0.000426463,0.115714601,0.039634583,0.046951257,0.013771192,0.000549564,0.771196944,1.61E-05,0.007121082,0.000426463,0.000156054,1.45E-05,0.001343103,0.003044705,0,-1.02E-05,7.00E-05,0.99953871,0.000448335,1.30E-05,0,0.999794915,8.34E-06,0.000196748,0,0,0,0,0.141273964,0.858726036,0.030743626,0.033281221,0.010195084,0.110546364,0.805128,0.002985986,0.007119718,0.000619826,0.009371663,0.133558613,0.131259527,0.048961395,0.298567139,0.374590272,0.003071566,5.502041231,5.455284553,1.695697305,1.652395507,1042535915,53217,19590.27971,0.018534266,138038224.5,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2778,0.186463065,0.813536935,0.100349811,0.05613975,0.698386542,0.022242929,0.094498215,0.007340079,0.009400063,0.011642611,0.000121492,0.999878508,0,0.000121492,0.152029129,0,0.698188961,0,0,0.022376607,0,0,0.015148321,0.013957066,0.000699551,0.085510861,0.004748558,0.007219453,0,1.000103639,0,-0.000103639,0,0.965160092,0.000965369,0.033978178,0,0,0,-0.000103639,0.489704693,0.510295307,0.413100902,0.003064689,0.061067849,0.076649337,0.446117223,0,0,0.013220505,0.068371205,0.014685281,0.606939036,0.090598877,0.093597336,0.11258776,0,2.962578559,10.31208054,1.241502446,2.115341019,962215706.9,52083,18474.65981,0.004508906,475534541.8,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2779,0.157660577,0.842339423,0.474219693,0.370517963,0.134318637,0.004579688,0.009249702,0.005879898,0.000715744,0.000518676,0.010772476,0.989227524,0,1.10E-05,0.832655371,0,0.134265961,0,0.01076145,0.004569775,0,0,0.0004999,8.94E-05,3.94E-05,0.009238337,0.000730755,0.00586817,0.001270395,0.999472242,0.000240984,0.000286774,0,0.991570079,0.000123235,0.008019911,0,0,0,0.000286774,0.947117599,0.052882401,0.700386455,0.001976896,0.016443303,0.246731144,0.034462201,0,0,0.022819545,0.009337162,0.028351885,0.594624734,0.103759578,0.085259071,0.155848025,0,3.328459976,13.21311475,1.290052919,2.225113014,829396409.3,37397,22178.15358,0.007022005,551182546.8,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2780,0.429549632,0.570450368,0.205205693,0.21807437,0.265159342,0.004053697,0.016129183,0.000846274,0.290467587,6.39E-05,0.003956165,0.996043835,0,0.003931482,0.401176602,0,0.081751489,0,2.08E-05,0.001886807,3.85E-06,0,0.003752461,0.253632004,0.000350775,0.001427936,0.244489063,0.000846274,0.006730424,0.998925419,5.55E-06,0.000292095,0.000776937,0.983031555,0.000371378,0.01564501,0,0,0.000776937,0.000175121,0.556145102,0.443854898,0.332881782,0.047679378,0.009026875,0.223288708,0.387123258,0,0,0.031011119,0.204615015,0.086930777,0.410913367,0.107163556,0.080353617,0.07901255,0,2.816766604,9.606413994,1.208161804,2.04609162,1374651340,42899,32043.90172,0.007985818,751266654.4,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2781,0.154197166,0.845802834,0.243790584,0.516178901,0.03376524,9.71E-05,0.001831577,0.197753258,0.006576596,6.75E-06,0.010447734,0.989552266,0,0.000529961,0.746737055,0.000108974,0.033711421,0,0.009789904,9.77E-05,1.89E-05,0,1.03E-05,0.00081189,0.002393251,0.001798017,0.005836953,0.197749468,0.000406277,0.894245172,0.105754525,3.03E-07,0,0.776967537,0.000725805,0.221776472,0,0.000530185,0,0,0.157917725,0.842082275,0.147055598,0.001299762,0.118577052,0.011304787,0.721439736,0.000318866,4.20E-06,0.000200006,0.068613968,0.010594174,0.318392595,0.064869236,0.081282766,0.456015754,3.15E-05,6.452509227,12.53928347,1.744509932,2.287731117,22359025461,566444,39472.61417,0.001783837,3115477469,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2783,0.439864232,0.560135768,0.131252959,0.045308853,0.142752813,0.078451656,0.508430478,0.004507908,0.088241865,0.001053468,0.002622003,0.997233717,0.000144281,0.000423159,0.1709866,0.0013361,0.079387963,0,0.000815141,0.078351915,4.76E-05,0.000144281,0.001709066,0.162003807,0.002109819,0.480495661,0.018423009,0.003733647,3.22E-05,0.999943876,2.35E-05,3.26E-05,0,0.942000467,0.002462054,0.053299911,0.001180794,0.001056256,0,5.17E-07,0.443619793,0.556380207,0.286574398,0.002184144,0.028008227,0.158066139,0.524435247,0.00060264,0.000129205,0.002375669,0.190013916,0.040101488,0.280453825,0.198164193,0.147246254,0.141371256,0.000273399,3.607516474,12.55647208,1.281385726,2.276214756,14108838570,471598,29917.08737,0.003546059,2040715292,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
ORG-2784,0.428884091,0.571115909,0.345352951,0.067793738,0.462670247,0.015768472,0.064579861,0.031266648,0.011214225,0.001353857,0.000355806,0.999634126,1.01E-05,8.63E-06,0.408535328,0.000242554,0.396415579,0,0.000102899,0.015185052,1.72E-06,1.01E-05,0.004063697,0.080687247,0.001849011,0.056134957,0.008645672,0.028008262,0.000109323,0.999909141,5.30E-05,3.78E-05,0,0.975901455,0.001128598,0.022855067,7.57E-05,3.92E-05,0,0,0.814755079,0.185244921,0.665140687,0.004347663,0.002615683,0.149871438,0.163797605,0.012734885,0.00149204,0.001620394,0.149294137,0.040977241,0.202972472,0.234300359,0.151599409,0.218347737,0.000888251,3.776535256,14.51380753,1.345392181,2.253668364,9624647961,454742,21165.07374,0.00209161,1726326871,"[1.00e+08,9.07e+11]","[1.00e+08,1.05e+11]",FALSE
