ContractingOfficeID,pNoEffComp,pEffComp,pPlatEnC,pPlatFnC,pPlatOther,pPlatLand,pPlatWnA,pPaltMnS,pPlatAir,pPlatVessel,pProducts,pServices,pRnD,pPscEnC,pPscOther,pPscFuels,pPscICT,pPscFRSnC,pPscPAMS,pPscERS,pPscEngines,pPscLnM,pPscMED,pPscMnS,pPscAir,pPscLand,pPscRnD,pPscShips,pPscCloth,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeRedermination,pFeeEPA,pFeeFixed,pFeeAward,pFeeIncentive,pFeeEffort,pIDV,pAward,pVehFSS,pVehSAC,pVehBPA,pVehPur,pVehDef,pVehMAC,pVehOIDV,pNoCompOther,pNoCompFollowOn,pNoComp1Source,pComp1Offer,pCompNo Comp. (Unlabeled),pComp2Offers,pComp3or4Offers,pComp5pOffers,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude,ExcludeLow,ExcludeHigh
A8104,0.689669809,0.310330191,0.25333259,0.032031072,0.478332981,0.000247106,0.001466327,0.013893229,0.220691314,5.38E-06,0.060971728,0.516340378,0.422687894,0.028479304,0.007462851,0,0.034024098,0.024587865,0.433925315,0.023793886,0.001659363,2.66E-06,9.21E-06,0.000452833,0.020369962,7.49E-05,0.422687894,0,0.00246988,0.170539161,0.095099532,0.734361307,0,0.306921757,0.001009916,0.000278132,0.674651017,0.000325921,0.016813256,0,0.617246638,0.382753362,0.05432222,0.496049791,0,0.017189315,0.365906835,0.066386403,0.000145435,0.028772592,0.002325044,0.183544468,0.443038056,0.031542545,0.106600762,0.005150781,0.199025753,4.588444506,6.848314607,1.251257095,1.565684018,1337464500,1742,767775.2584,0.253256598,321440616.2,FALSE,FALSE,FALSE
A8105,0.708001771,0.291998229,0.053398218,0.00789475,0.858795404,0,0.000370489,0,0.079541139,0,0.099250139,0.874954314,0.025795547,0.007638038,0.008227479,0,0.040263012,-0.000217926,0.740673501,0.094166263,0.003513835,0,6.95E-05,0,0.072358598,0,0.025795547,0,0.00751219,0.183894783,0.563504322,0.252600895,0,0.742257984,0,0,0.238740753,0.012020245,0.006981018,0,0.725887362,0.274112638,0.111535243,0.590002776,0,0.007875781,0.266697045,0.023889155,0,0.193234202,0.017946564,0.090094391,0.363133493,0.07546165,0.181587159,0.057065239,0.021477302,1.842819111,5.688888889,0.945334305,1.254973988,464137320.2,661,702174.4632,0.5663746,175479838,FALSE,FALSE,FALSE
A8106,0.32144687,0.67855313,0.05593073,0.005644787,0.824675714,0,0.001574432,0.000455256,0.11171908,0,0.046565582,0.937189834,0.016244583,0.040455824,0.003858683,0,0.014263869,0.000179336,0.910774221,0.011972408,0,0.000124212,0,0.000455256,0.001671607,0,0.016244583,0,0,0.065081211,0.011447356,0.923471434,0,0.076483551,0,0,0.47668375,0.445780131,0.001052568,0,0.750002061,0.249997939,0.025794829,0.591979473,0,0.008222788,0.242244218,0.131758692,0,0.022595928,0.000261638,0.036345873,0.225830259,0.036093237,0.311685004,0.096678246,0.270509815,3.379947429,3.6,1.323232612,1.276959874,528802980.5,809,653650.1614,0.495023972,146964890.5,FALSE,FALSE,FALSE
A8107,0.734201036,0.265798964,0.267132294,0.049498149,0.570671907,0.000983878,0.012837068,0.015357104,0.082578185,0.000941414,0.18717797,0.778036401,0.034785629,0.142598049,0.038017379,0,0.109767156,0.018885143,0.576607613,0.072666725,0.00163664,2.62E-06,0.000109765,0.000106971,0.002373927,0.000981939,0.034785629,0.000941414,0.000519033,0.21944526,0.106168757,0.674385983,0,0.326100585,0,0.001576841,0.663191648,0.005664298,0.003466628,0,0.419536643,0.580463357,0.090188266,0.31808184,0,0.020743845,0.560324676,0.008899126,0.001762247,0.017999459,0.000343001,0.065729813,0.573785453,0.076009419,0.130786914,0.110756372,0.024589568,1.715523286,3.862068966,0.903323551,1.348496995,1648708082,2911,566371.7218,0.175417488,352808834.8,FALSE,FALSE,FALSE
A8108,0.884761003,0.115238997,0.05829803,0.001407992,0.696656534,0,0.027674126,0.002222805,0.213740513,0,0.276001819,0.720513157,0.003485024,0.035684692,0.00464555,0,0.016611146,0.000265377,0.703482608,0.000154026,0,0.027521404,0,0.002222805,0.205921478,0,0.003485024,0,5.89E-06,0.61715126,0.368249117,0.014599623,0,0.965665264,0,0,0.014599623,0,0.019735113,0,0.805691204,0.194308796,0.033181757,0.666245234,0,0.007205339,0.187103457,0.106264213,0,0.06777385,0.023411229,0.550618008,0.186494372,0.056382785,0.024942104,0.041226549,0.049151102,3.344840122,6.333333333,1.126136021,1.374838956,787098088.6,1245,632207.3001,0.265667149,276947393.8,FALSE,FALSE,FALSE
A8109,0.306932941,0.693067059,0.3933538,0.071089773,0.451205406,0.000204839,0.006563267,0,0.077582915,0,0.122391987,0.875524657,0.002083356,0.071433716,0.049066428,0,0.31247997,0.020828218,0.533207617,0.009008852,0.000276653,0,0,0,0.001410351,0.000204839,0.002083356,0,0,0.476109236,0.223582323,0.300308442,0,0.701813548,0,0,0.273746464,0.009273323,0.015166665,0,0.83685613,0.16314387,0.090255762,0.698342116,0,0.009227872,0.156572863,0.045601387,0,0,0,0.059382166,0.175162765,0.072388009,0.236892312,0.441145925,0.015028822,2.790905685,2.777777778,1.267252768,1.16706133,351013109.8,343,1023361.836,1.013213721,84447794.08,FALSE,FALSE,FALSE
A8110,0.961014011,0.038985989,0.039626839,0.071554728,0.89112986,0,0,0.000610075,-0.002921502,0,0.097960072,0.902039928,0,0.026861568,0.072918115,0,0.012765272,0,0.862154921,0.027119735,0,0.000610075,0,0,-0.002921502,0,0,0,0.000491817,0.103229517,0.011321565,0.885448918,0,0.11645989,0,0,0.88354011,0,0,0,0.124932165,0.875067835,0.036801876,0.081206311,0,0.038951958,0.836115877,0.006923978,0,0,0,0.008854511,0.932278703,0.023449526,0.040002607,-0.006649867,0.002064521,1.220385313,3.416666667,0.762693587,1.188563476,82659692.84,131,630990.0217,1.359550569,40769027.78,FALSE,FALSE,TRUE
A8111,0.522215961,0.477784039,0.058350395,0.020334151,0.722484172,0,0,0,0.198831281,0,0.080375554,0.915437169,0.004187277,0.031135787,0.020037721,0,0.027214609,0.001734493,0.771530451,0.114120268,0.000684681,0,0.000837348,0,0.028517366,0,0.004187277,0,0,0.345643427,0.318479547,0.335877025,0,0.664122975,0,0,0.335877025,0,0,0,0.440454247,0.559545753,0.112590264,0.304594353,0,0.027256766,0.532288987,0.02326963,0,0.131650654,0,0.103391852,0.174203592,0.113949554,0.40918294,0.030713394,0.036908015,1.957572353,2.04,1.043896095,0.99396266,53510435.18,122,438610.1245,1.220112366,21833103.17,FALSE,FALSE,TRUE
A8112,0.26620045,0.73379955,0.14941701,0,0.85058299,0,0,0,0,0,0.030021077,0.969978923,0,0.030021077,0,0,0.119395933,0,0.85058299,0,0,0,0,0,0,0,0,0,0,0.083852415,0.916147585,0,0,1,0,0,0,0,0,0,1,0,0.133716398,0.866283602,0,0,0,0,0,0,0,0,0,0.26620045,0,0.73379955,0,3.481706107,3.666666667,1.493783972,1.535056729,5924144.708,48,123419.6814,1.389372133,5309838.624,FALSE,FALSE,TRUE
A8113,0.611315116,0.388684884,0.519132108,0.012627925,0.459038129,0.001854363,0,0,0.007347475,0,0.316879291,0.679821743,0.003298965,0.300140374,0.009577093,0,0.218385306,0,0.458385604,0.003050833,0,0,0,0,0.00651662,0,0.003298965,0,0.000645205,0.453379659,0.265632929,0.280987412,0,0.709320077,0,0.002227149,0.277932473,0,0.010520301,0,0.968031965,0.031968035,0.115618969,0.806345421,0,0.004804261,0.027189503,0.046041846,0,0.034073336,0,0.038660561,0.176529239,0.362051981,0.078424926,0.043829143,0.266430814,6.668890144,5.041666667,1.597784798,1.36292328,320822392,989,324390.6895,0.197343295,174664557.3,FALSE,FALSE,FALSE
A8114,0.46704535,0.53295465,0.220272339,0.168435916,0.609340056,0.001951689,0,0,0,0,0.10890265,0.89109735,0,0.032761759,0.073431035,0,0.172920487,0.093082363,0.584511674,0.033588075,0,0,0.006994749,0,0,0.001951689,0,0,0.000758167,0.32137113,0.172298339,0.506330532,0,0.493669468,0,0,0.506330532,0,0,0,0.862803434,0.137196566,0.348513314,0.513700233,0,0.026354983,0.111431471,0,0,0.017587812,0,0.076024121,0.144385912,0.229047505,0.389489284,0.017430448,0.126034919,2.527523514,2.423076923,1.17880723,1.095752783,63962191.98,197,324681.1776,0.62957469,34827902.12,FALSE,FALSE,TRUE
A8117,1,0,0.633815064,0,0.366184936,0,0,0,0,0,0,0.366184936,0.633815064,0,0,0,0,0,0.366184936,0,0,0,0,0,0,0,0.633815064,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0.693147181,0.693147181,320134.4378,2,160067.2189,6.338249714,320134.4378,TRUE,TRUE,TRUE
A8119,0.698617,0.301383,0.163066128,0,0.836933872,0,0,0,0,0,0.163066128,0.518811763,0.318122109,0.163066128,0,0,0,0,0.518811763,0,0,0,0,0,0,0,0.318122109,0,0,0.887172635,0.112827365,0,0,1,0,0,0,0,0,0,0.251618277,0.748381723,0.156441832,0.095176445,0,0.307550989,0.440830734,0,0,0,0,0,0.334029233,0.364587767,0.112827365,0,0.188555635,3.254783173,3.666666667,1.211471839,1.329661349,582099.0303,7,83157.00433,3.503372474,491034.3915,TRUE,TRUE,TRUE
A8120,0.958135944,0.041864056,0.074426264,0.000684419,0.653381105,0,0,0,0.271508212,0,0.30270787,0.69729213,0,0.030515239,0.000684419,0,0.043911025,0,0.653381105,0,0,0,0,0,0.271508212,0,0,0,0,0.988737388,0.009910132,0.001352481,0,0.099286154,0,0,0.001352481,0,0.899361365,0,0.935264213,0.064735787,0.050497421,0.875205629,0,0.000716766,0.064019021,0.009561163,0,0.36297651,0,0.000626637,0,0.594532798,0.003163628,0,0.038700428,6.730820254,8.4,2.012604559,1.914996697,168597073.9,180,936650.4104,0.725838506,102225961.4,FALSE,FALSE,FALSE
A8122,0.491137272,0.508862728,0.108593312,0.007842514,0.789140167,0.010373298,0.013098257,0,0.070952452,0,0.079834876,0.879721218,0.040443906,0.0093715,0.005605881,0,0.096642948,0.003332022,0.776283867,0.00346238,0.010373298,0.013098257,0,0,0.04138594,0,0.040443906,0,0,0.117133321,0.52527747,0.357589209,0,0.642410791,0,0,0.135732973,0.220557646,0.001298589,0,0.895954205,0.104045795,0.060093471,0.661151667,0,0.002912644,0.101071036,0.174771182,0,0.03984953,0,0.069028345,0.257960383,0.10620318,0.212065212,0.100660977,0.214232374,3.321289002,6.966666667,1.272421354,1.456352129,284726993.8,545,522434.8509,0.329523046,143031379.7,FALSE,FALSE,FALSE
A8123,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.098612289,1.098612289,219475.8284,1,219475.8284,12.29900194,219475.8284,TRUE,TRUE,TRUE
A8124,0.133885202,0.866114798,0.178495523,0,0.821504477,0,0,0,0,0,0,1,0,0,0,0,0.178495523,0,0.821504477,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.133885202,0,0.079246573,0.786868225,0,3.364937728,2.5,1.429562494,1.196872936,1113414.021,23,48409.30527,1.161083065,1113414.021,TRUE,TRUE,TRUE
A8125,0.718010006,0.281989994,0.162070214,-0.011251005,0.849180791,0,0,0,0,0,0,1,0,0,0,0,0.162070214,-0.011251005,0.849180791,0,0,0,0,0,0,0,0,0,0,0.731437152,0.268562848,0,0,1,0,0,0,0,0,0,1,0,0.162070214,0.837929786,0,0,0,0,0,-0.013427146,0,0,0.731437152,0,0,0.281989994,0,1.574008223,2.666666667,0.889923178,1.229626485,9345784.392,23,406338.4518,2.455970072,9345784.392,FALSE,FALSE,TRUE
A8300,0.379045154,0.620954846,0.025167107,0.002349224,0.967339934,0,0.004119551,0,0.001024185,0,0.352116229,0.556235108,0.091648663,0.018318998,0.332624405,0,0.005687767,0.000892637,0.234317509,0.315337196,0.000148642,0,0,0,0.001024185,0,0.091648663,0,0,0.810605386,0.036315526,0.153079088,0,0.788458963,0.003109221,0,0.132332249,0,0.076099567,0,0.464282914,0.535717086,0.013122478,0.190865904,0,0.027551301,0.508411381,0.260048937,0,0.02025563,0,0.086290755,0.118982947,0.141792199,0.215185437,0.121675287,0.295817745,4.682047397,5.099526066,1.543663908,1.565020969,799782180.2,789,1013665.628,0.554892857,346654455.5,FALSE,FALSE,FALSE
A8301,0.286592478,0.713407522,0.059251833,0.196675588,0.735597487,0.002681596,0.002057824,0,0.000386155,0.003349517,0.13141951,0.589870548,0.278709943,0.03861126,0.086250301,0,0.020396832,0.189260241,0.22621745,0.153996025,0.000171411,0.000303078,0,0,5.23E-05,0.002681596,0.278709943,0.003349517,0,0.559946342,0.062259619,0.37779404,0,0.630085959,0,0.005563095,0.349706606,0.014310816,0.000333525,0,0.555459632,0.444540368,0.058793759,0.424252059,0,0.052366295,0.395156689,0.069431198,0,0.064732126,0,0.06106255,0.15483632,0.061441876,0.317183319,0.083650686,0.257093125,4.432450037,5.682242991,1.420767756,1.479461151,813613068.6,1995,407826.0996,0.226970841,223371522.8,FALSE,FALSE,FALSE
A8302,0.265934109,0.734065891,0.036986886,0.001517347,0.960664557,0.000175611,0,2.81E-05,0,0.000627513,0.512636357,0.230692001,0.256671642,0.014767304,0.497665356,0,0.001281299,0,0.04757791,0.181832792,0,0,0,2.81E-05,0,0.000175611,0.256671642,0,0,0.610683763,0.031904126,0.357412111,0,0.505077248,0,0,0.158780344,0.223230369,0.112912038,0,0.507589792,0.492410208,0.014447657,0.135899326,0,0.001167299,0.494611863,0.34539866,0.008475195,0.008938705,0.032611752,0.087204128,0.105182293,0.036691389,0.451749168,0.194940751,0.082681815,2.985086899,3.618181818,1.266918274,1.361899889,2152129444,689,3123555.071,0.739045125,715354997.3,FALSE,FALSE,FALSE
A8303,0.567075039,0.432924961,0.032221037,0.020848736,0.945982069,0,0.000726305,0.000196151,0,2.57E-05,0.572839876,0.254869804,0.17229032,0.031846336,0.540967839,0,0.000374701,0.02028081,0.133670253,0.10054404,0,0,0,0,0,0,0.17229032,2.57E-05,0,0.705778528,0.070611079,0.223610394,0,0.827761095,7.05E-05,0,0.11104595,0.060448224,0.000674279,0,0.787356409,0.212643591,0.029250471,0.194625812,0,0.001613806,0.211218367,0.563291544,0,0.01030144,0.078624457,0.15510443,0.352769117,0.000966672,0.244568844,0.033761067,0.123903973,3.161292084,4.006289308,1.151467897,1.327677732,1429972447,734,1948191.345,0.538944437,521409676.9,FALSE,FALSE,FALSE
A8304,0.047516506,0.952483494,0.017783719,0.002855718,0.979605169,0.000201797,-0.000446404,0,0,0,0.050534074,0.847374248,0.102091678,0.014828018,0.035435552,0,0.002175958,0.000592997,0.021189485,0.823415808,6.87E-05,0,0,0,0,0.000201797,0.102091678,0,0,0.904471044,0.053094244,0.042434712,0,0.468369049,0.002017588,0,0.022174977,0.504961549,0.002476837,0,0.868767199,0.131232801,0.021000761,0.542235381,0,0.002616345,0.130355866,0.037330811,0.266460836,0.028184192,0.003275472,0.011278726,0.005166184,0.001079862,0.297033798,0.51367182,0.140309945,3.735032863,3.209090909,1.485733443,1.28001125,1277814306,491,2602473.129,0.886835683,427962307,FALSE,FALSE,FALSE
A8305,0.597458818,0.402541182,0.051414432,0.018044513,0.927294647,0,0.000245823,0,0.003002067,-1.48E-06,0.810529035,0.188817955,0.00065301,0.025637711,0.781859115,0,0.01280347,0,0.112776823,0.063237663,3.16E-05,0,0,0,0.003002067,0,0.00065301,-1.48E-06,0,0.767225319,0.047452226,0.185322456,0,0.721737229,0,0,0.140112058,0.070795233,0.067355479,0,0.908586578,0.091413422,0.005172261,0.492221278,0,0.037674256,0.053747537,0.411184668,0,0.075717817,0.007019722,0.299365857,0.164226758,0.035292578,0.185572013,0.116242093,0.116563162,3.390980577,3.940677966,1.30488599,1.339465186,1257597500,884,1422621.606,0.448137016,448713958,FALSE,FALSE,FALSE
A8451,0.790994293,0.209005707,0.036304784,0.020575787,0.31850508,0,0.031271206,0.128876238,0.464047596,0.00041931,0.095232441,0.286234783,0.618532776,0.024448379,0.007788691,0,0.010048152,0.00177244,0.245733145,0.028681046,0,0.028023475,0,0.021506561,0.013465335,0,0.618532776,0,0,0.095212717,0.021314245,0.883473038,0,0.124453688,5.52E-05,0.005679307,0.738491953,0.12946283,0.001856988,0,0.140971785,0.859028215,-6.24E-05,0.130851514,0,0.000458071,0.858570144,0.009246851,0.000935836,0.010180015,0,0.700420465,0.080146841,0.000166287,0.066779511,0.063063183,0.079243698,3.701500011,5.902439024,1.369004794,1.608110764,843726581.6,610,1383158.33,0.726117162,251534612.8,FALSE,FALSE,FALSE
A8452,0.440282837,0.559717163,0.565842636,0.039385825,0.210918653,0.001321115,0.003327025,0.010512504,0.168692242,0,0.191808324,0.618150333,0.190041342,0.131556949,0.037243458,0,0.391285289,0.009102976,0.174381288,0.037087941,0.004104762,0.000798922,0.00629284,0.010512504,0.005811773,0,0.190041342,0,0.001779956,0.394517015,0.062811803,0.542671182,0,0.456751672,0,0.00120042,0.058394005,0.483653903,0,0,0.807855281,0.192144719,0.011891129,0.596203774,0,0.01575832,0.179642771,0.193944979,0.002559027,0.045561666,0.000366843,0.04907952,0.29660109,0.048612576,0.143126591,0.222119938,0.194531777,3.8951189,3.888157895,1.375312081,1.429093874,314210769.5,709,443174.5691,0.579966223,82994195.87,FALSE,FALSE,FALSE
A8453,0.772737665,0.227262335,0.532713517,0.24243848,0.178360256,0.001208718,0.012156675,0.010545338,0.022157713,0.000419303,0.714847484,0.274180677,0.010971839,0.39535277,0.27005299,0.001213751,0.127268333,0.001316266,0.115722187,0.029291143,0.009727427,0.005272959,0.000582748,0.009779314,0.019792377,0.001208718,0.010971839,0,0.002447179,1,0,0,0,1,0,0,0,0,0,0,0.511940298,0.488059702,0.489225352,0.002735954,0,0.470139197,0.018154146,0.001558677,0.018186674,0,0,0,0.078489468,0.69264451,0.079870854,0.120639472,0.028355696,3.345155406,9.970588235,1.231915123,1.571703574,80375054.72,903,89008.91996,0.224876012,19255793.05,FALSE,FALSE,TRUE
A8454,0.053037048,0.946962952,0.280908893,0.005522153,0.662996599,0,0.000160441,0.050411914,0,0,0.000498182,0.946872201,0.052629617,0.000498182,0,0,0.280410711,0.005522153,0.598512143,0.062427194,0,0,0,0,0,0,0.052629617,0,0,0.001015468,0.009037735,0.989946798,0,0.02182002,0,0,0.040505954,0.937674026,0,0,0.948968412,0.051031588,0,0.948968412,0,0,0.051031588,0,0,0,0,0.00419617,0.048840878,0,0.311509626,0.634635755,0.000817571,3.231823739,3.5,1.405309776,1.354087284,236576528.2,539,438917.492,0.682851468,90569479.65,FALSE,FALSE,FALSE
A8455,0.745734238,0.254265762,0.01929104,0.010778099,0.557401499,0,0.018955235,0.031194926,0.35938025,0.002998951,0.06597282,0.537297346,0.396729834,0.012661225,0.008804961,0,0.000563285,0,0.532527308,0.004206753,0.001329669,0.016763603,0,0.01040513,0.016008231,0,0.396729834,0,0,0.066153859,0.007753981,0.92609216,0,0.071602752,0.002338065,0,0.608932349,0.315030763,0.00209607,0,0.326970335,0.673029665,0,0.292597986,0,0.001700606,0.671329058,0.031779682,0.002592667,0,0,0.446723849,0.06458422,0.234041911,0.009369169,0.18915452,0.056126332,3.852141981,6.697674419,1.473104443,1.593549258,229255871.9,195,1175671.138,1.285526674,188597456.5,FALSE,FALSE,FALSE
A8456,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.098612289,1.098612289,17608093.62,24,733670.5677,4.778094767,16119478.54,FALSE,FALSE,TRUE
A8457,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.017299818,0,0.982700182,0,0,0.017299818,0,0,0.982700182,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.982700182,0.017299818,0,2.034599636,2.5,1.107449479,1.226318695,75206969.06,129,582999.7602,1.605911844,31210482.7,FALSE,FALSE,TRUE
A8458,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.098612289,1.098612289,44942906.06,111,404891.0456,1.584741158,19259809.89,FALSE,FALSE,TRUE
