ContractingOfficeID,pNoEffComp,pEffComp,pPlatEnC,pPlatFnC,pPlatOther,pPlatLand,pPlatWnA,pPaltMnS,pPlatAir,pPlatVessel,pProducts,pServices,pRnD,pPscEnC,pPscOther,pPscFuels,pPscICT,pPscFRSnC,pPscPAMS,pPscERS,pPscEngines,pPscLnM,pPscMED,pPscMnS,pPscAir,pPscLand,pPscRnD,pPscShips,pPscCloth,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeRedermination,pFeeEPA,pFeeFixed,pFeeAward,pFeeIncentive,pFeeEffort,pIDV,pAward,pVehFSS,pVehSAC,pVehBPA,pVehPur,pVehDef,pVehMAC,pVehOIDV,pNoCompOther,pNoCompFollowOn,pNoComp1Source,pComp1Offer,pCompNo Comp. (Unlabeled),pComp2Offers,pComp3or4Offers,pComp5pOffers,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude,ExcludeLow,ExcludeHigh
600,0.10482147,0.89517853,0.009686889,0.031082529,0.959212871,0,1.77E-05,0,0,0,0.9558721,0.0441279,0,0.002967487,0.020950541,0.928031473,0.002796803,0.030996006,0.010101229,0.000233862,0.003922598,0,0,0,0,0,0,0,0,0.996035826,0.003901134,2.71E-05,3.60E-05,0.086464676,0.00178851,0.911550764,1.67E-05,0.000179378,0,0,0.984955604,0.015044396,0.013560164,0.960276685,0.000181609,0.001536653,0.013624507,0.010740466,7.99E-05,0.001531567,0,0.008092403,0.017716891,0.002519974,0.026250449,0.037230678,0.906658037,23.17185801,20.03043478,2.931347576,2.280201852,16162851662,2852,5667199.04,0.21597999,8660117656,FALSE,FALSE,FALSE
08BP,0.924959604,0.075040396,0.387284418,0.3672132,0.201993893,0,0.043508488,0,0,0,0.624391814,0.375608186,0,0.318142792,0.262740533,0,0.066754581,0.013661088,0.094003313,0.101125841,0,0.043508488,0.100063363,0,0,0,0,0,0,1,0,0,0,0.986615095,0.005916925,0.00746798,0,0,0,0,0.705777472,0.294222528,0.656098521,0.002838417,0,0.149966038,0.145036203,0.046060821,0,0,0,0.043393957,0.420250891,0.461314755,0.016467057,0.029641694,0.028931646,1.519274579,2.3,0.832626198,1.07381343,25029299.12,97,258034.0116,0.940394677,13671894.18,FALSE,FALSE,TRUE
A7104,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.098612289,1.098612289,7842204.226,1,7842204.226,15.87503063,7842204.226,FALSE,FALSE,TRUE
A7253,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18599056.05,2,9299528.027,8.369310721,18599056.05,FALSE,FALSE,TRUE
A8000,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,1.386294361,1.386294361,840208.1707,1,840208.1707,13.64140615,840208.1707,TRUE,TRUE,TRUE
A8050,0.516009265,0.483990735,0.213042378,0.138274095,0.186422947,0.000580005,7.60E-05,0.000195321,0.453122027,0.00828719,0.617514998,0.193534715,0.188950287,0.027374171,0.128418923,3.33E-05,0.004560331,0.001090684,0.173883587,0.01396285,0.011550356,1.72E-05,3.73E-05,0.006417605,0.441035401,0.000220036,0.188950287,0.002328696,0.000119246,0.505775934,0.007136886,0.48708718,0,0.500530652,0.005061354,0.002096196,0.329638944,0.14949912,0.013173734,0,0.414485381,0.585514619,0.032025564,0.375872847,1.81E-06,0.020861243,0.565383597,0.005767566,8.74E-05,0.058804178,0,0.270702576,0.085131356,0.075956605,0.223899943,0.13227557,0.153229773,3.708708503,6.195991091,1.398652462,1.700992721,2528598124,4921,513838.2694,0.118458125,648906626.6,FALSE,FALSE,FALSE
A8100,0.391033115,0.608966885,0.199797806,0.057344573,0.522473991,0.006860515,0,0,0.213523115,0,0.18198135,0.596202634,0.221816016,0.053854013,0.080921969,0,0.104150015,0,0.479916975,0.012135645,0.010644833,0,0,0,0.033390942,0.003169593,0.221816016,0,0,0.412107645,0.002154808,0.585737547,0,0.414262453,0,0,0.585737547,0,0,0,0.542273932,0.457726068,0.164211601,0.378062331,0,0.175261579,0.282464489,0,0,0,0,0.052049533,0.336091261,0.005652709,0.191100798,0.415105698,0,2.081794464,1.7,1.081164461,0.953416149,12693180.31,65,195279.697,1.513544015,7584988.095,FALSE,FALSE,TRUE
A8101,0.958698099,0.041301901,0.317683751,0.000167914,0.095265342,0,0,0,0.586882993,0,0.895512695,0.103098327,0.001388978,0.309850767,0.000167914,0,0.007566964,0,0.089806905,0.005724457,0,0,0,0,0.585494015,0,0.001388978,0,0,0.92581978,0.06307657,0.01110365,0,0.978287952,0,0,0.01110365,0,0.010608398,0,0.873045537,0.126954463,0.019617212,0.853428325,0,0.000433934,0.126520529,0,0,0.010127267,0,0.723995327,0.017209091,0.207366414,-0.000129443,0.015523912,0.025907433,3.462825247,2.705882353,1.400795363,1.236393381,195533329,136,1437745.066,1.68876628,90892961.78,FALSE,FALSE,FALSE
A8102,0.627865889,0.372134111,0.243058514,0.025746291,0.660351085,0.007397501,0,0.056099531,0.006109691,0.001237387,0.196715124,0.726215435,0.077069441,0.142282759,0.035787546,0,0.077981564,0,0.644842334,0.003391537,0.002915303,0,0,2.08E-05,0.006028788,0.007397501,0.077069441,0.001237387,0.001045007,0.211286734,0.049090533,0.739622733,0,0.253077609,0.000765582,0,0.72181039,0.017410442,0.006935976,0,0.298011437,0.701988563,0.062493107,0.19323612,0,0.0231234,0.67908331,0.015094966,0.026969096,0.028149206,0.000439421,0.078737495,0.491193178,0.029011003,0.332269842,0.008369646,0.031830209,1.886980415,5.714285714,0.92704696,1.465173797,1091027160,1601,681466.0586,0.280617012,355258991.5,FALSE,FALSE,FALSE
A8103,0.754587847,0.245412153,0.066183521,0.00693549,0.790300402,0.00359096,0.000530953,0.001326839,0.12968349,0.001448346,0.093345936,0.732059061,0.174595003,0.013437112,0.009953618,0,0.030613547,0.000293111,0.697060091,0.004092312,0.000564651,6.71E-06,0,8.23E-05,0.048975781,0.002618177,0.174595003,0.001448346,0.016259237,0.283467062,0.133613965,0.582918974,0,0.433348792,0,0,0.559956918,0.004118099,0.002576191,0,0.415100808,0.584899192,0.052180833,0.344848521,0,0.02814973,0.557506568,0.016998233,0.000316114,0.048339825,0.00131546,0.088563919,0.554498063,0.060414218,0.113664491,0.065396422,0.067807603,2.692205787,5.521472393,0.98143432,1.473694199,826425748.4,1347,613530.6224,0.332480813,268749660.9,FALSE,FALSE,FALSE
