fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2005,59:26.2,Defense,ORG-2873,Zero value,NULL,$1 - <$5 million,1,1,0,NULL
2013,59:26.2,Defense,ORG-2941,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,3,193,554609149.4,193
2004,59:26.2,Defense,ORG-2825,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,1,1,135000,1
2004,59:26.2,Defense,ORG-2942,$100 - <$500 million,Zero value,Zero value,1,2,104836946,3
2007,59:26.2,Defense,ORG-2943,$100 - <$500 million,Greater than $500 million,Greater than $500 million,1,12,322616187.7,9444
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,Zero value,Zero value,434,2940,1024007516,2963
2014,59:26.2,Defense,ORG-2774,Deobligation,Deobligation,Deobligation,419,504,-18310771.06,504
2006,59:26.2,Defense,ORG-2944,Deobligation,Zero value,Zero value,1937,2531,-48493424.4,2533
2013,59:26.2,Defense,ORG-2943,Deobligation,Less than $250 thousand,Deobligation,1,3,-4000,3
2011,59:26.2,Defense,ORG-2844,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,13,37,5693670.09,37
2011,59:26.2,Defense,ORG-2836,Zero value,NULL,Zero value,154,227,0,NULL
2008,59:26.2,Defense,ORG-2842,$1 - <$5 million,Zero value,Zero value,3,18,7190165,18
2010,59:26.2,Defense,ORG-2943,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,2,1979985.4,2
2012,59:26.2,Defense,ORG-2945,Less than $250 thousand,$250 thousand - <$1 million,Zero value,11,34,1432071.5,34
2009,59:26.2,Defense,ORG-2871,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,1,4,146322031,4
2006,59:26.2,Defense,ORG-2937,Less than $250 thousand,Less than $250 thousand,Deobligation,3,8,255768.81,8
2006,59:26.2,Defense,ORG-2872,Zero value,NULL,Zero value,1033,1350,0,NULL
2010,59:26.2,Defense,ORG-2878,Zero value,NULL,$25 - <$100 million,2,10,0,NULL
2008,59:26.2,Defense,ORG-2875,$5 - <$25 million,$5 - <$25 million,Deobligation,1,6,5345956.09,6
2012,59:26.2,Defense,ORG-2942,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,1,6,96111340,8
2011,59:26.2,Defense,ORG-2825,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,1,26,23187050,26
2013,59:26.2,Defense,ORG-2871,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,1,4,12853314.94,4
2012,59:26.2,Defense,ORG-2783,Deobligation,Zero value,Zero value,3,6,-2133.95,6
2014,59:26.2,Defense,ORG-2944,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,1,8,3478964.594,8
2010,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,13,17,7137887.36,152
2012,59:26.2,Defense,ORG-2937,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,1,180266.83,1
2012,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,3,25,2298744.38,29
2006,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,2,6,1890977,6
2012,59:26.2,Defense,ORG-2936,Greater than $500 million,Greater than $500 million,Greater than $500 million,7,232,10175352213,232
2012,59:26.2,Defense,ORG-2937,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,21,114,42382601.32,114
2011,59:26.2,Defense,ORG-2838,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,16,10469062.26,16
2014,59:26.2,Defense,ORG-2844,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,1,18,28257362.29,18
2007,59:26.2,Defense,ORG-2836,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,1,8,618298,8
2010,59:26.2,Defense,ORG-2825,$1 - <$5 million,Less than $250 thousand,$1 - <$5 million,1,6,1558339,6
2013,59:26.2,Defense,ORG-2872,Zero value,$1 - <$5 million,$1 - <$5 million,3,5,0,5
2006,59:26.2,Defense,ORG-2825,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,1,8,6375868,8
2009,59:26.2,Defense,ORG-2936,Less than $250 thousand,$250 thousand - <$1 million,Zero value,4,8,435600.67,8
2002,59:26.2,Defense,ORG-2854,$25 - <$100 million,Zero value,Zero value,6,110,201978763,110
2010,59:26.2,Defense,ORG-2781,Less than $250 thousand,Zero value,Zero value,1,1,88512,1
2008,59:26.2,Defense,ORG-2944,Zero value,$1 - <$5 million,$1 - <$5 million,3,3,0,3
2010,59:26.2,Defense,ORG-2941,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,6,7,1014005.52,7
2011,59:26.2,Defense,ORG-2871,Less than $250 thousand,Less than $250 thousand,Zero value,14,31,1805944.24,31
2006,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,Zero value,2,2,29050.56,2
2007,59:26.2,Defense,NULL,$1 - <$5 million,$250 thousand - <$1 million,Zero value,1,7,1014387.64,7
2009,59:26.2,Defense,ORG-2941,Zero value,NULL,Deobligation,17,40,0,NULL
2009,59:26.2,Defense,ORG-2838,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,3,3,1197374.65,3
2008,59:26.2,Defense,ORG-2843,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,2,1764802.8,2
2012,59:26.2,Defense,ORG-2877,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,1,1,20052.92,1
2003,59:26.2,Defense,ORG-2834,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,12,13,777716,13
2008,59:26.2,Defense,ORG-2875,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3,11,9305965.14,11
2012,59:26.2,Defense,ORG-2843,Zero value,Less than $250 thousand,$250 thousand - <$1 million,10,10,0,10
2003,59:26.2,Defense,ORG-2937,Deobligation,Zero value,Zero value,967,1461,-111858534,1481
2007,59:26.2,Defense,ORG-2872,Zero value,NULL,$100 - <$500 million,91,156,0,NULL
2001,59:26.2,Defense,NULL,Less than $250 thousand,NULL,Less than $250 thousand,1,1,36050,NULL
2014,59:26.2,Defense,ORG-4774,Zero value,Less than $250 thousand,$250 thousand - <$1 million,2,2,0,2
2011,59:26.2,Defense,ORG-2882,$5 - <$25 million,$5 - <$25 million,Zero value,6,15,62456875.51,15
2014,59:26.2,Defense,ORG-3960,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,1,12,5600858,12
2014,59:26.2,Defense,ORG-2943,Deobligation,Deobligation,Zero value,1,4,-111000,4
2011,59:26.2,Defense,ORG-2937,Less than $250 thousand,Deobligation,Deobligation,88,249,7676061.52,249
2011,59:26.2,Defense,NULL,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,71,394,155562642,394
2011,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,2,11,1267344.76,11
2000,59:26.2,Defense,ORG-2862,Zero value,Zero value,Zero value,7,14,0,14
2006,59:26.2,Defense,ORG-2872,Zero value,NULL,$1 - <$5 million,228,347,0,NULL
2001,59:26.2,Defense,ORG-2880,$5 - <$25 million,Zero value,Zero value,2,4,29972841,62
2004,59:26.2,Defense,ORG-2937,Zero value,NULL,Zero value,793,793,0,NULL
2012,59:26.2,Defense,NULL,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,2,5,43245.52,5
2000,59:26.2,Defense,ORG-2860,Deobligation,Zero value,Zero value,2,3,-69826,3
2002,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,526869,1
2012,59:26.2,Defense,ORG-2875,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,5,19793.4,5
2001,59:26.2,Defense,ORG-2939,Less than $250 thousand,Zero value,Zero value,762,870,43544496.82,882
2009,59:26.2,Defense,ORG-2877,$1 - <$5 million,Deobligation,Deobligation,16,107,34397077.7,107
2011,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,2,967131.3,2
2002,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,4,5,2048815.84,5
2007,59:26.2,Defense,ORG-2940,Zero value,$25 - <$100 million,$25 - <$100 million,4,5,0,5
2004,59:26.2,Defense,ORG-2825,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,3,20,175029286,23
2014,59:26.2,Defense,ORG-2777,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2012,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,Zero value,Zero value,1,1,869909.87,1
2011,59:26.2,Defense,ORG-2936,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,22,80,64193931.7,83
2010,59:26.2,Defense,ORG-2941,$5 - <$25 million,Deobligation,Deobligation,2,23,30427459.15,39
2006,59:26.2,Defense,ORG-2869,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,5,82366,5
2010,59:26.2,Defense,ORG-2784,Zero value,Less than $250 thousand,Less than $250 thousand,16,37,0,37
2010,59:26.2,Defense,ORG-2939,Deobligation,Zero value,Zero value,31,43,-41102055.33,43
2011,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,49,112,31664498.73,112
2007,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,4,11,1432377.94,11
2010,59:26.2,Defense,ORG-2869,Deobligation,$1 - <$5 million,Deobligation,2,6,-330692.73,6
2010,59:26.2,Defense,ORG-2843,Zero value,Zero value,Zero value,799,1265,0,1266
2014,59:26.2,Defense,ORG-2943,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,18,65,50296179.89,65
2010,59:26.2,Defense,ORG-2871,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,1,2,1492805,2
2014,59:26.2,Defense,ORG-2783,Zero value,Zero value,Zero value,1716,2770,0,2770
2005,59:26.2,Defense,ORG-2825,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,1,5,3300000,5
2010,59:26.2,Defense,ORG-2941,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,38,22031280.87,53
2001,59:26.2,Defense,ORG-2843,Less than $250 thousand,Zero value,Zero value,184,197,11192725,198
2001,59:26.2,Defense,ORG-2943,$5 - <$25 million,Zero value,Zero value,26,84,229986096,87
2013,59:26.2,Defense,ORG-2944,Zero value,Less than $250 thousand,Zero value,1,1,0,1
2011,59:26.2,Defense,ORG-2825,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,13,21,34142921.17,21
2005,59:26.2,Defense,ORG-2775,$250 thousand - <$1 million,Zero value,Zero value,192,318,103070590.3,319
2006,59:26.2,Defense,ORG-2940,Zero value,Less than $250 thousand,Less than $250 thousand,88,114,0,114
2011,59:26.2,Defense,ORG-3960,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,5,3784448,5
2001,59:26.2,Defense,ORG-2945,Less than $250 thousand,Zero value,Zero value,1267,1426,118599736,1445
2011,59:26.2,Defense,NULL,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,2,8,1131965.78,8
2007,59:26.2,Defense,ORG-2944,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,10,32,346312250,32
2006,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,15,21,144677874.4,21
2008,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,1,1,8377506.4,1
2009,59:26.2,Defense,ORG-2937,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,19,27,1738041.73,27
2010,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,2,7,735226.59,7
2007,59:26.2,Defense,ORG-2937,Deobligation,Deobligation,$1 - <$5 million,1,2,-1278364.64,2
2013,59:26.2,Defense,ORG-2844,Zero value,Less than $250 thousand,Less than $250 thousand,25,27,0,27
2012,59:26.2,Defense,ORG-2781,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,196,220,377490784.4,220
2012,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2833,5208,1392691216,5249
2012,59:26.2,Defense,ORG-2877,Deobligation,Deobligation,$1 - <$5 million,1,8,-30267.99,8
2012,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,68,120,34104539.28,120
2010,59:26.2,Defense,ORG-2874,Zero value,NULL,Greater than $500 million,6,9,0,NULL
2011,59:26.2,Defense,NULL,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,54,271,107383540.8,271
2007,59:26.2,Defense,ORG-2787,Zero value,NULL,$25 - <$100 million,27,27,0,NULL
2012,59:26.2,Defense,ORG-2781,Zero value,NULL,$25 - <$100 million,7,7,0,NULL
2014,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,14,42,7189552.215,42
2011,59:26.2,Defense,NULL,Zero value,NULL,Zero value,727,2136,0,NULL
2010,59:26.2,Defense,ORG-2943,$100 - <$500 million,Zero value,Zero value,1,44,133043617,44
2006,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,2,2,1063826,2
2014,59:26.2,Defense,ORG-2941,Zero value,Zero value,Zero value,1968,2733,0,2750
2000,59:26.2,Defense,ORG-2878,Deobligation,Zero value,Zero value,3,3,-826537,3
2009,59:26.2,Defense,ORG-2936,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,11,69,114308682.2,102
2006,59:26.2,Defense,ORG-2783,$250 thousand - <$1 million,Zero value,Zero value,310,329,132928277,358
2009,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,159,331,97940261.77,333
2012,59:26.2,Defense,ORG-2877,Zero value,$1 - <$5 million,$1 - <$5 million,6,10,0,10
2005,59:26.2,Defense,ORG-2872,$1 - <$5 million,Greater than $500 million,Greater than $500 million,5,5,11346696.09,5
2008,59:26.2,Defense,ORG-2876,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,34,105,21543624.49,108
2008,59:26.2,Defense,ORG-2825,Zero value,Deobligation,Zero value,2,2,0,2
2011,59:26.2,Defense,ORG-2877,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,3,72,356727516.8,72
2005,59:26.2,Defense,ORG-2783,Less than $250 thousand,Zero value,Zero value,80207,80926,1012330286,81191
2011,59:26.2,Defense,NULL,$100 - <$500 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,118650192.9,4
2001,59:26.2,Defense,ORG-2860,$1 - <$5 million,Zero value,Zero value,2,5,5021783,5
2010,59:26.2,Defense,ORG-2943,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,59,103,8739261.89,103
2009,59:26.2,Defense,ORG-2872,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,2,18,108678252.3,18
2000,59:26.2,Defense,ORG-2939,$25 - <$100 million,Zero value,Zero value,21,65,856446048,67
2011,59:26.2,Defense,ORG-2941,$5 - <$25 million,$25 - <$100 million,Deobligation,3,43,55275112.29,60
2010,59:26.2,Defense,ORG-2775,Deobligation,Zero value,Zero value,37,41,-31877482.65,41
2006,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,37,44,19811640.58,48
2005,59:26.2,Defense,ORG-2835,Less than $250 thousand,Less than $250 thousand,Zero value,2,13,84712,13
2009,59:26.2,Defense,ORG-2843,$1 - <$5 million,Zero value,Zero value,23,127,48202036.68,150
2011,59:26.2,Defense,ORG-2936,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,2,221346.64,2
2011,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1407,3196,689492948.3,3197
2011,59:26.2,Defense,ORG-2877,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,3186,9586,6970286587,17838
