fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2011,59:26.2,Defense,ORG-2878,$1 - <$5 million,Zero value,Zero value,1,2,1248704.15,2
2014,59:26.2,Defense,NULL,Zero value,Zero value,$5 - <$25 million,3,7,0,7
2007,59:26.2,Defense,ORG-2874,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,483,489,1081912470,4986
2014,59:26.2,Defense,ORG-2773,Deobligation,$250 thousand - <$1 million,Less than $250 thousand,1,1,-15023.1299,1
2005,59:26.2,Defense,ORG-2834,Deobligation,Zero value,Zero value,258,375,-35066944,377
2006,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,Zero value,Zero value,31,45,15265765,45
2012,59:26.2,Defense,ORG-2777,Zero value,Zero value,Less than $250 thousand,2,2,0,2
2008,59:26.2,Defense,ORG-2845,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,6,10,820207,12
2008,59:26.2,Defense,ORG-2941,$1 - <$5 million,$1 - <$5 million,Deobligation,1,22,1718951,22
2008,59:26.2,Defense,ORG-2774,Zero value,NULL,$250 thousand - <$1 million,2,10,0,NULL
2006,59:26.2,Defense,ORG-2835,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,3,3,0,3
2011,59:26.2,Defense,ORG-2869,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,71,129,9060318.37,129
2009,59:26.2,Defense,ORG-3960,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,1,13,23368630,13
2007,59:26.2,Defense,ORG-2874,Zero value,NULL,$25 - <$100 million,15,15,0,NULL
2007,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,770,1378,350677470.1,1382
2007,59:26.2,Defense,ORG-2869,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,39,90,362882486,90
2001,59:26.2,Defense,ORG-2880,Zero value,NULL,Zero value,14,14,0,NULL
2013,59:26.2,Defense,ORG-2825,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,30,37,0,40
2006,59:26.2,Defense,ORG-2945,Zero value,NULL,Zero value,11,11,0,NULL
2010,59:26.2,Defense,NULL,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,31,164,375203028.1,164
2007,59:26.2,Defense,ORG-2936,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,1,2,1075850,2
2010,59:26.2,Defense,NULL,Greater than $500 million,Deobligation,Deobligation,1,198,3212852358,198
2013,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,1,6,920572,6
2002,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,1,4,845000,4
2012,59:26.2,Defense,ORG-2941,Zero value,NULL,$25 - <$100 million,43,74,0,NULL
2012,59:26.2,Defense,ORG-2836,Zero value,Less than $250 thousand,Zero value,2,6,0,6
2009,59:26.2,Defense,NULL,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,7,13,1196716.84,13
2008,59:26.2,Defense,ORG-2874,Zero value,NULL,Less than $250 thousand,219,243,0,NULL
2009,59:26.2,Defense,ORG-2836,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,3,3,0,3
2011,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,Deobligation,Less than $250 thousand,2,20,1271678.03,20
2014,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,14,65,9367712.196,72
2009,59:26.2,Defense,ORG-2882,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,11,30,24401952.55,30
2011,59:26.2,Defense,ORG-2776,Deobligation,Deobligation,Deobligation,21,35,-732004.28,35
2011,59:26.2,Defense,ORG-2775,$5 - <$25 million,Deobligation,Deobligation,1,7,7768812,7
2006,59:26.2,Defense,ORG-2882,Less than $250 thousand,Zero value,Zero value,1069,1600,56738027.03,1770
2011,59:26.2,Defense,ORG-2775,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,68,187,3473141985,187
2014,59:26.2,Defense,ORG-2835,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,2,8,471256.8835,8
2012,59:26.2,Defense,ORG-2843,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,4,24,8041943.66,24
2011,59:26.2,Defense,ORG-4774,$250 thousand - <$1 million,Deobligation,Deobligation,1,8,397936.74,8
2010,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,Zero value,Zero value,19,51,8165360.62,51
2008,59:26.2,Defense,ORG-2944,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,11,20,0,20
2010,59:26.2,Defense,ORG-2774,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,70,150,33126906.09,159
2011,59:26.2,Defense,ORG-2937,Deobligation,Zero value,Deobligation,1,1,-45232.45,1
2011,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,18,151,38049221.84,151
2008,59:26.2,Defense,ORG-2834,$1 - <$5 million,$1 - <$5 million,Deobligation,4,29,12565320.96,29
2014,59:26.2,Defense,NULL,$1 - <$5 million,$1 - <$5 million,Zero value,230,668,472565427,679
2007,59:26.2,Defense,ORG-2876,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,68555,87150,2308039329,95729
2010,59:26.2,Defense,ORG-2882,$1 - <$5 million,Deobligation,Deobligation,2,7,4666386.52,7
2014,59:26.2,Defense,ORG-2877,Deobligation,Deobligation,$250 thousand - <$1 million,1,9,-191727.4375,9
2001,59:26.2,Defense,NULL,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,3,3,1375365,3
2007,59:26.2,Defense,ORG-2937,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,36,48,1948150.19,48
2007,59:26.2,Defense,ORG-2825,Less than $250 thousand,Deobligation,Deobligation,4,11,247509.96,11
2010,59:26.2,Defense,ORG-2877,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,4,65,45024659.64,66
2008,59:26.2,Defense,ORG-2825,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,3,16,20274241,16
2010,59:26.2,Defense,ORG-2937,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,33,91,2454797.06,91
2007,59:26.2,Defense,NULL,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,7,13,5822139.14,13
2012,59:26.2,Defense,ORG-2843,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,1,13,7244741.76,13
2009,59:26.2,Defense,ORG-2871,Less than $250 thousand,Deobligation,Deobligation,8,31,598776.37,31
2012,59:26.2,Defense,ORG-4383,Zero value,NULL,$5 - <$25 million,6,21,0,NULL
2013,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,6,7,7940879,7
2013,59:26.2,Defense,ORG-3960,$5 - <$25 million,Deobligation,Deobligation,3,38,28957590.48,38
2007,59:26.2,Defense,ORG-2939,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,1,9,11267955,9
2011,59:26.2,Defense,ORG-2843,Zero value,NULL,$5 - <$25 million,28,76,0,NULL
2013,59:26.2,Defense,ORG-2783,Less than $250 thousand,Less than $250 thousand,Deobligation,2,4,58052.48,4
2013,59:26.2,Defense,ORG-2834,Zero value,Zero value,Deobligation,1,1,0,1
2010,59:26.2,Defense,ORG-2936,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,37,111,25319911.88,111
2012,59:26.2,Defense,ORG-2877,Zero value,$25 - <$100 million,$100 - <$500 million,2,3,0,3
2011,59:26.2,Defense,ORG-2941,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,6,53,77045509.12,74
2011,59:26.2,Defense,ORG-2787,Zero value,Less than $250 thousand,Less than $250 thousand,7,9,0,9
2006,59:26.2,Defense,ORG-2870,Zero value,NULL,$250 thousand - <$1 million,1,5,0,NULL
2014,59:26.2,Defense,ORG-2877,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,1,4,41487639,5
2007,59:26.2,Defense,ORG-2880,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,1,5,220000,5
2009,59:26.2,Defense,ORG-2825,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,8,4095680.3,8
2013,59:26.2,Defense,ORG-2872,Zero value,NULL,Zero value,2235,3171,0,NULL
2008,59:26.2,Defense,ORG-2845,Zero value,Zero value,Zero value,225,309,0,314
2014,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,39,97,5310004.964,97
2007,59:26.2,Defense,ORG-2876,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,12,90,21609972.97,90
2005,59:26.2,Defense,ORG-2842,$5 - <$25 million,Zero value,Zero value,1,1,8857836,1
2014,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,2,6,1449926.039,6
2014,59:26.2,Defense,ORG-4774,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,1,7,4516041,7
2013,59:26.2,Defense,NULL,Zero value,NULL,$250 thousand - <$1 million,51,90,0,NULL
2011,59:26.2,Defense,NULL,Deobligation,$250 thousand - <$1 million,Less than $250 thousand,1,6,-49818.34,6
2008,59:26.2,Defense,ORG-2943,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,4,7,12222893.01,7
2009,59:26.2,Defense,ORG-3960,Zero value,NULL,$100 - <$500 million,3,20,0,NULL
2007,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,1,12,862852,12
2013,59:26.2,Defense,ORG-2869,Zero value,Zero value,Zero value,1747,2466,0,2468
2006,59:26.2,Defense,ORG-2872,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,3,7,1979457,7
2006,59:26.2,Defense,ORG-2936,Deobligation,$25 - <$100 million,$5 - <$25 million,1,1,-24724310,1
2011,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$5 - <$25 million,Zero value,2,6,1202735.81,6
2004,59:26.2,Defense,ORG-2940,Zero value,Zero value,Zero value,387,632,0,632
2007,59:26.2,Defense,ORG-2842,Less than $250 thousand,Zero value,Zero value,75,152,2542783.8,152
2006,59:26.2,Defense,ORG-2836,Zero value,NULL,$5 - <$25 million,3,6,0,NULL
2009,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,1,8,3545442,8
2014,59:26.2,Defense,ORG-2869,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,4,8,775710.6084,8
2008,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,1,3,881820,3
2007,59:26.2,Defense,ORG-2834,Deobligation,Less than $250 thousand,Less than $250 thousand,1,1,-195,1
2013,59:26.2,Defense,ORG-2844,Zero value,NULL,$1 - <$5 million,26,82,0,NULL
2001,59:26.2,Defense,ORG-2871,Zero value,Zero value,Zero value,3,9,0,9
2008,59:26.2,Defense,ORG-2941,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,14,44,1695345.49,45
